id,area,task,source,dependency,current_state,evidence,owner_action,next_action,acceptance_gate,target_batch,disposition
C4-SC-04,science,Repair local_size_gonogo.py exit semantics,Audit 4.1 SC-04,none,"FIXED 2026-08-16. All five infrastructure sites now raise a named InfrastructureError (NOT a SystemExit subclass) and cli() routes it to exit 2. Root of the defect: SystemExit carrying a STRING exits 1 - the same code main() returns for a genuine NO-GO - and the `except SystemExit: raise` guard preserved it, so the exit-2 path could never catch these five. The consumer was already correct: forecast-calibration-census.yml has an `elif rc -ge 2` branch that says 'this is NOT a calibration verdict', but the script never produced 2 for these conditions, so that branch was unreachable for its intended purpose - it only ever fired for UNANTICIPATED crashes, never the five anticipated ones. 14 site-specific tests; mutation-verified twice (class->SystemExit subclass: 2 red; single site reverted: 2 red incl. the source guard). Estate floor raised 414->428, CI-anchored to run 31930196097 (416 observed + 14 - 2).",backend/tests/test_local_size_gonogo_exit_contract.py; backend/scripts/local_size_gonogo.py header EXIT CONTRACT; .github/workflows/ci.yml estate MIN_PASSED note,None,None. Watch the next green CI run to confirm the estate floor projection (428) was right; the arithmetic is written in ci.yml so it can be falsified.,Infrastructure failure cannot produce a calibration verdict; site-specific tests pass,B4,COMPLETED_AWAITING_PROMOTION
C4-SC-05,science,Make Python upgrade readiness meaningful or retire it,Audit 4.1 SC-05,none,OPEN. The 'Python upgrade readiness' workflow is registered and active but has NEVER executed (gh run list returns nothing). It carries 6x continue-on-error: true.,gh workflow list shows it active; gh run list --workflow returns zero runs,Decide: make it run or retire it,Present the two options with cost,Either it executes on supported versions without blanket continue-on-error or it is deleted,B5,OPEN_READY
C4-SC-06,science,Complete WS-CAN-0017 checksum/restore links and WS-CAN-0029 freshness_sec,Audit 4.1 SC-06,none,"NOT STARTED (both are 'Not Started' in the 12.1 canonical register). 0017 = end-to-end checksum, byte-count/Range validation, re-validation on restore. 0029 = the declared 1800 s freshness budget no tier has ever met.",CURRENT_CANONICAL_TASK_REGISTER_12.1.csv rows WS-CAN-0017 and WS-CAN-0029,None,Scope both; 0029 likely reduces to correcting a declared budget to a measured one,End-to-end checksum proven on a restore; freshness_sec matches a measured tier budget,B5,OPEN_READY
C4-SC-07,science,Resolve the three correctly-red scheduled lanes WITHOUT widening any gate,Audit 4.1 SC-07,none,MIXED - one lane has recovered. Sim Parity Monitor is now GREEN (success at fabb9fe8 2026-08-15T23:38Z and 834b1cfe 17:40Z after a failure at aa305291). Forecast Calibration Census is still RED (failure at 7becd023 2026-08-16T03:28Z). Marine Nightly last ran 2026-08-15T07:07Z and FAILED at aa305291 with 7 render findings against a budget of 2 - and has NO run on 7becd023 or newer.,"gh run list per workflow, 2026-08-16T05:00Z",None,"Read the census failure; re-run Marine Nightly on the candidate SHA. Do NOT widen the parity tide waiver, the ERA5 ordering bound, or the zoomlab coverage-arrival threshold.",All three lanes green by fixing the cause; no gate threshold loosened,B5,OPEN_READY
C4-SC-08,science,Keep partition flags off and coherent across all lanes pending ledger evidence,Audit 4.1 SC-08,none,HOLDING CORRECTLY. SURF_PARTITIONS=0 in all three lanes and ECMWF_PERIOD_BANDS off. The JS rating mirror (WS-CAN-0002) must ship before any flip.,lane handoff section 3 'Partitions are ingested but flag-dark everywhere'; MEMORY.md 'JS mirror BEFORE any SURF_PARTITIONS flip',Any flip is an owner decision made in all three lanes together,Verify flag parity across the three lanes as a read-only check,All three lanes report the same flag value; flip only via a ledger-backed owner decision,B5,DEFERRED_UNTIL_ledger-backed-owner-decision-with-JS-mirror-shipped
C4-SC-09,science,Calibrate or honestly label ensemble confidence,Audit 4.1 SC-09,none,OPEN. Only ECMWF waef swh x5 members feed a self-declared-uncalibrated forecast_confidence. Presenting an ensemble without calibrated verification is false precision.,lane handoff section 3 'Ensemble',None,Label it uncalibrated at every consumer or remove it from the product surface until reliability evidence exists,No user-facing surface implies calibrated confidence without reliability evidence,B5,OPEN_READY
C4-SC-10,science,Resolve the band/glyph population divergence,Audit 4.1 SC-10; QUEUE E#1; WS-CAN-0024,none,"OPEN and explicitly do-not-tune. The band reads 2.3-2.7x ABOVE the glyph. The cause is per-cell COMPOSITION, and the sign test REFUTED the earlier mechanism. The sub-term is not isolated.",MEMORY.md QUEUE E#1 the-band-and-the-glyph-are-two-populations-2026-08-09.md,The 9.5-40 degree dead zone (__RAW_RATING_SPAN_FADE_HI__=40) is an owner call,Isolate the composition sub-term; tune NEITHER lane,Sub-term isolated with a sign-correct mechanism before any coefficient moves,B6,DEFERRED_UNTIL_composition-sub-term-isolated
C4-SC-11,science,Resolve the mid-range high bias with observation-stratified evidence,Audit 4.1 SC-11,ERA5 campaign,OPEN. The uncancelled input-compression error. The shipped height pair (gamma 0.81 + REFRACTION_KR 0.797 + H110 ON) is correct at the ends but mid-range still reads high.,MEMORY.md INDEX-forecast-science routing; lane handoff section 3,None,Accrue buoy-stratified evidence; do not apply a display-only compression,Causal correction supported by observation-stratified evidence - never a display fix,B6,DEFERRED_UNTIL_observation-stratified-evidence-sufficient
C4-SC-12,science,Close the standing skill-gate clocks,Audit 4.1 SC-12,none,"OPEN with a hard date. The skill gate ARMS 2026-08-22 and pages the owner. The +24h deficit has WIDENED (delta +0.015, win 44%) - the 'narrowing' claim is REFUTED. Heartbeat URL, cross-fall sampling, and the ft/m infobox are standing clocks.",MEMORY.md CLOCKS line,None,Verify each clock has an owner and a firing path before 08-22,All four clocks verified with a named owner and a tested firing path,B5,OPEN_READY
C4-UX-01,product,Scheduled surf-alert quality language,Audit 4.1 UX-01; WS-CAN-0066,none,"LIKELY CLOSED - MUST BE RE-VERIFIED ON THE CURRENT SHA. WS-CAN-0066 is 'Fully Delivered' in the 12.1 register and MEMORY.md lists it CLOSED. The original defect: scheduler/surf_alerts.py fired every 15 min in production saying 'perfect conditions!' with zero quality references, while the repaired path was a manual POST nobody called.",Audit 12.2 brief 'The one finding that reaches a user'; register WS-CAN-0066 = Fully Delivered,None,Re-verify on origin/dev: confirm the SCHEDULED path consults quality and that the guard DISCOVERS its census rather than naming one file,Scheduled and manual paths share one quality-aware truth and the guard census is discovered not hardcoded,B4,OPEN_READY
C4-UX-02,product,Rating/quality consumer census across APIs map cards notifications and alerts,Audit 4.1 UX-02,none,"OPEN. This is the repository's own recurring defect class: 3 vs 4 vs 5 rating surfaces were counted across successive audits, and an exact number written in prose IS the bug.",MEMORY.md the-census-is-the-defect-not-the-assertion-2026-08-09.md,None,Enumerate consumers by discovery not by list; assert membership,Every intended consumer receives the field and the census is generated not authored,B4,OPEN_READY
C4-UX-03,product,Legend label and color agreement with rating thresholds in all themes,Audit 4.1 UX-03; WS-CAN-0015,none,"PARTIALLY IMPLEMENTED per the 12.1 register (rain unit label, wind legend from the shader ramp).",register WS-CAN-0015 = Partially Implemented,None,Re-verify on the current SHA across light/dark/beach,All bands and labels match the rating thresholds in all three themes,B5,OPEN_READY
C4-UX-04,product,Honest time and provenance display (run_time vs valid time vs response time),Audit 4.1 UX-04; WS-CAN-0004 and WS-CAN-0005,Owner decision on the display half,"SPLIT. WS-CAN-0004 (serialize run/provenance onto grid_series frames) is Implemented and Active. WS-CAN-0005 (true model-cycle identity) is Not Started AND the DISPLAY half is owner-blocked: 87 spots share run_time to the microsecond, so rendering it would ship an ingest clock as a cycle.",register WS-CAN-0004/0005; MEMORY.md '0005 AND the run_time DISPLAY half are OWNER-BLOCKED',Approve the staged plan steps 3-4 for WS-CAN-0005,Advance only the non-display half,"run_time, valid time, and response generation time are distinct in the payload and in the UI",B5,BLOCKED_OWNER_approve-WS-CAN-0005-staged-steps-3-4
C4-UX-05,product,Mobile sheet modal focus dismissal and screen-reader semantics,Audit 4.1 UX-05,none,OPEN. The 2026-07-14 accessibility audit found ~41 aria attributes across 132+ interactive elements in the map components and keyboard handling in only 2 of 20 interactive files.,CLAUDE.md ACCESSIBILITY mandate; docs/runbooks/HANDOFF-2026-07-14 section 0a,None,"Re-verify on the current SHA, then close modal semantics, focus trap, Escape/back dismissal, and SR labels",Modal semantics focus behavior dismissal and SR labels all verified on mobile,B5,OPEN_READY
C4-UX-06,product,Three themes contrast and palette discriminability,Audit 4.1 UX-06,none,OPEN. The THREE THEMES mandate covers every surface but has no explicit contrast/discriminability objective or test.,CLAUDE.md THREE THEMES ALL DEVICES mandate,None,Add explicit objectives and tests for contrast and palette discriminability,Contrast and discriminability tested in light dark and beach on desktop and mobile,B5,OPEN_READY
C4-UX-07,product,One unit and conversion authority,Audit 4.1 UX-07,none,OPEN. Rating unit drift with a 3.281 literal and hardcoded feet assumptions.,Audit 12.2 product gaps; Audit 4.1 UX-07,None,Consolidate to one conversion authority and add it to the science registry ratchet,One conversion authority; no bare 3.281 literal; no hardcoded feet assumption,B4,OPEN_READY
C4-UX-08,product,Marine diagnostic scoping,Audit 4.1 UX-08,none,OPEN. Coarse marine grid notices can leak into non-marine layers.,Audit 4.1 UX-08,None,Scope the notice to marine layers with a test,A coarse marine notice cannot render on a non-marine layer,B5,OPEN_READY
C4-UX-09,product,All 12 supported layers models and configurations verified on the exact SHA,Audit 4.1 UX-09,C4-P0-07,"MOSTLY PROVEN ALREADY - do not rebuild. Audit 12.2 measured 72 of 72 layer cells painting (3 configurations x 2 models x 12 layers) on Chromium desktop, Chromium mobile, and Firefox, plus 24 of 24 geography cells including the antimeridian and 68N. What is missing is the same proof on the CANDIDATE SHA.",Audit 12.2 'What is NOT missing',None,Re-run the existing differential pixel oracle on the candidate SHA rather than authoring a new matrix,72/72 cells paint on the candidate SHA with fallback behavior verified,B5,OPEN_BLOCKED_C4-P0-07
C4-OP-01,ops,Resolve dirty worktrees safely with every file assigned,Audit 4.1 OP-01,none,LARGELY RESOLVED BY A CONCURRENT CONTEXT DURING THIS PASS. Main worktree now shows only two forecast-cache JSONs (backend/uploads/forecast_cache/marine_global.json and wind_global.json) which are NOT ours and must never be staged. halo-lane has 4 untracked .webm recordings. gracious-cannon has 15 dirty files belonging to another lane - do not touch. Raw-Surf-audit2 is clean.,git status across all four worktrees at 2026-08-16T05:00Z,None,Leave all three other worktrees untouched; document ownership only,Every modified/untracked file is assigned to an owner and none is swept into an unrelated commit,B1,VERIFIED_COMPLETE
C4-OP-02,ops,Commit the authorized audit artifacts without absorbing unrelated files,Audit 4.1 OP-02,none,"DONE BY A CONCURRENT CONTEXT AT 2026-08-16T04:54:06Z. Commit 1f41601b contains exactly the two Audit 4.0 deliverables plus .claude/launch.json - 3 files, 621 insertions, zero forecast-cache files. I verified all three blobs are byte-identical to the local copies.",git show --stat 1f41601b; git hash-object comparison of all three paths -> IDENTICAL,None,None,Report and manifest tracked with no unrelated file absorbed,B1,VERIFIED_COMPLETE
C4-OP-03,ops,Resolve .claude/launch.json ownership,Audit 4.1 OP-03,none,DONE. The port-3013 frontend-halo-lane entry was committed in 1f41601b (6 added lines) alongside the audit artifacts.,git show --stat 1f41601b,None,None,The intended entry is committed and nothing else rode along,B1,VERIFIED_COMPLETE
C4-OP-04,ops,Cross-platform frontend build on Windows and CI,Audit 4.1 OP-04,none,"OPEN and reproduced by the audit. The package script uses Unix inline environment syntax: NODE_OPTIONS=--openssl-legacy-provider craco build, which does not run from a Windows shell.",Audit 4.1 'Focused tests' section,None,Use cross-env or a Node wrapper; prove the documented command on Windows AND CI,The documented build command succeeds on Windows and in CI unchanged,B4,OPEN_READY
C4-OP-05,ops,Protect the promotion branch with required checks,Audit 4.1 OP-05,Owner repo-admin authority,"SPLIT - and better than the register implies for main. main IS protected: 10 required contexts, enforce_admins TRUE, strict FALSE, no required reviews. dev has NO protection object at all (HTTP 404), so every push to dev deploys the production backend with zero required checks.",gh api branches/main/protection and branches/dev/protection at 2026-08-16T05:00Z,Decide whether dev gets protection. Note the tension: dev is the backend deploy branch AND the shared working branch for concurrent contexts.,Prepare the protection packet including the strict-mode question,dev cannot deploy a commit that has not passed required checks,B5,BLOCKED_OWNER_decide-dev-branch-protection
C4-OP-06,ops,CI-before-deploy ordering,Audit 4.1 OP-06,C4-OP-05,"OPEN and structural. Render deploys on every push to dev, and dev has no required checks, so the deploy races CI by construction.",MEMORY.md 'EVERY PUSH TO dev IS A PRODUCTION BACKEND DEPLOY'; dev protection 404,Same decision as C4-OP-05,Hold,Production backend/frontend cannot publish a commit before required checks finish,B5,OPEN_BLOCKED_C4-OP-05
C4-OP-07,ops,Immutable evidence manifest per candidate,Audit 4.1 OP-07,none,"PARTIAL - a strong precedent exists. AUDIT-4.0-...-manifest-2026-08-15.json (now tracked at 1f41601b) carries clean-SHA test receipts and 16 artifact hashes. It lacks the deployment permalink, browser/GPU metadata, and the rollback target.",the manifest committed in 1f41601b,None,Extend the existing manifest schema rather than inventing a second one,"Manifest carries SHA, clean state, builds, flags, browser/GPU, test receipts, deploy permalink, provenance, and rollback SHA",B5,OPEN_READY
C4-OP-08,ops,Rollback rehearsal to a known-good frontend/backend pair,Audit 4.1 OP-08,C4-P0-09,NOT STARTED. No rehearsal has ever run.,Audit 4.1 release definition of done,Authorize a rehearsal window,Write the runbook and the rehearsal script now (no execution),A timed rehearsal restores a known-good pair,B6,OPEN_READY
C4-OP-09,ops,Mutable forecast artifact safeguards,Audit 4.1 OP-09,none,"OPEN and visible right now: backend/uploads/forecast_cache/*.json are mutable tracked artifacts that show as dirty in the working tree on every ingest cycle. They have no checksum, no immutable twin, and no restore verification.",git status in the main worktree,None,"Add checksums and versioning, or untrack them with a documented restore path",Checksums immutable twins and a verified restore path exist,B5,OPEN_READY
C4-OP-10,ops,grid_series latency measurement and an owner-proposed SLO,Audit 4.1 OP-10; WS-CAN-0064,Owner SLO approval,"MEASURED LIVE THIS PASS. GET /api/weather/grid_series: n=479, avg 2873 ms, p50 1000 ms, p90 10000 ms, p99 26382 ms, 39 calls over 10 s. Service-wide: 9274 requests, 0 5xx, 158 over 10 s. The long tail is real and it is not limited to grid_series.",/api/health request_telemetry at 2026-08-16T04:56Z,Approve an SLO target once proposed,Propose the SLO from the measured distribution (not from a docstring),Owner-approved SLO with alerting and a reduced long tail that does not hide fallbacks,B5,OPEN_READY
C4-OP-11,ops,Triage PRs #7 #9 and #10,Audit 4.1 OP-11,C4-P0-08,"DONE 2026-08-16. All three PRs terminal: #9 MERGED (dev->main squash, ffe7a462); #10 MERGED after being RETARGETED main->dev and rebased (d555b17e) - it was NOT superseded and closing it would have discarded the AV-01a truth gate, the slot-ceiling property suite and the nearshore runner; #7 MERGED (89f61d87) after triage found it CORROBORATED rather than superseded by the 08-15 root cause (d4e4be31 landed on the same 0.6 constant and the same fetch-arrival mechanism nine days later). ZERO open PRs. ⚠️ gh pr merge declined SILENTLY on all three; #9/#10 needed --admin and #7 needed the raw merge API (gh api -X PUT .../merge), which is the only form that prints a reason.",PRs 9/10/7 all state=MERGED; gh pr list --state open returns 0,None,None,No ambiguous release candidate remains open,B3,VERIFIED_COMPLETE
C4-OP-12,ops,Production environment prerequisites,Audit 4.1 OP-12,Owner,"OPEN and owner-only: the seeded dev-mock-user-id admin row in the production DB, Netlify production state, proxy/auth decisions, and the frontend unfreeze.",MEMORY.md OWNER-GATED list,Own each prerequisite explicitly,Prepare the packet,Each prerequisite has a named owner and a decision,B6,BLOCKED_OWNER_production-environment-prerequisites
C4-OP-13,ops,Memory and graph reliability,Audit 4.1 OP-13,none,"SPLIT. MEMORY.md was compacted 21.3 -> 19.6 KB; the hook wants <= 17.1 KB while its own governance says 18. SEPARATELY - MEASURED THIS PASS - the code graph is STALE: index_status reports 48,390 nodes 'ready', the positive controls computeWideOverlayMode / repositionLanduse / estimate_surf_at all resolve, but resolveOverlayTruthUv, resolveWashOverlayMode and planMaskFamilyOrder ALL return zero despite existing in the working tree. 'ready' is not freshness.",codebase-memory index_status + paired positive-control query at 2026-08-16T05:05Z; git grep confirms all three symbols exist in frontend/src/components/map/,None,Use git/text search for anything touching 08-15 or newer commits; define a deterministic refresh procedure with a positive control,MEMORY.md meets its governed size after a coverage-verified pass AND graph refresh has a documented procedure plus a positive control,B4,OPEN_READY
C4-OP-14,ops,Lint cleanup: the unused createTexture warning,Audit 4.1 OP-14,none,OPEN and small. Pre-existing ESLint warning for an unused createTexture in the engine - the third of the original three.,lane handoff section 2d,None,Remove or use it; do not suppress warnings globally,Warning gone with no global suppression,B4,OPEN_READY
C4-GOV-01,governance,Serialize concurrent contexts working in this repository,measured this session; Audit 4.1 WIP policy,Owner,"NEW AND URGENT. A second context is committing and pushing from the SHARED main worktree RIGHT NOW. During this read-only pass alone: origin/dev moved 7becd023 -> 1f41601b (04:54:06Z), the lane branch was pushed 7becd023 -> 33bd3787 (~04:56Z, moving PR #10's head), and this worktree's own HEAD advanced from 2e3efa66 to 1f41601b underneath me. Every push to dev is a production backend deploy.",three successive git fetch results and a HEAD re-read across 04:55-05:05Z; gh api ref reads,Decide which context owns the source-changing lane. Two contexts editing renderer or release files concurrently is the exact failure the audit's WIP policy forbids.,I will not start a source-changing batch in this tree until this is resolved; read-only and evidence work continues,One context owns source changes; the other is read-only by agreement,B1,BLOCKED_OWNER_assign-single-source-owner
C4-MR-15,marine,Wire marineZoomOutGate into WebGLMarineCustomLayer and retire the inline copy,"PR #7 triage 2026-08-16; author-declared follow-up (""wiring is the next step and is the point"")",none,"WIRED 2026-08-16. WebGLMarineCustomLayer now imports resolveRejectedOpacity and the inline copy is retired. THE DEBT I OPENED YESTERDAY WAS ALREADY WORSE THAN RECORDED: the module froze branch 1 at a flat 0.0, but e17f0332 (08-15) had added the COARSE-BRIDGE GRACE to the layer's branch 1 nine days after the module was written. Wiring it AS WRITTEN would have REVERTED that grace - a behaviour regression delivered inside a 'no-op refactor'. The module's own header had warned the two could drift; it had already happened, in nine days. RESOLUTION: the module owns WHICH BRANCH; the layer owns branch 1's opacity and side effects (the grace needs map/performance/engine state and cannot be pure). Neither duplicates the other's condition. PROOF: 1,296-case exhaustive grid comparing the wired path against the retired inline logic transcribed as an oracle - identical verdict AND identical opacity - plus a non-vacuity check that the grid reaches all four branches including a FRACTIONAL fade. Wiring tests pin the import and forbid the retired arithmetic returning. Mutation-verified: dropping the import -> 1 red; breaking branch-1 precedence -> 2 red. Full frontend suite 237 suites / 2248 tests green (from a NORMAL checkout - the earlier deferral was waiting on exactly that). lint:ci green.",frontend/src/components/map/marineZoomOutGate.wiring.test.js (1296-case equivalence grid); WebGLMarineCustomLayer.js import + call site; marineZoomOutGate.js header updated to WIRED,None,"None. NOTE: the bare zoom ramp (currentZoom-5.5)/(6.5-5.5) still exists in the NON-rejected path (a different decision, no overlap term) - deliberately left, and the wiring test is scoped so it does not trip on it. That is a separate duplication if anyone wants it (C4-MR-12 family).",WebGLMarineCustomLayer imports marineZoomOutGate; the inline copy is gone; one cover-frac authority remains for this decision; a test fails if they diverge,B5,COMPLETED_AWAITING_PROMOTION
C4-OP-15,ops,Fix the dev->main promotion model: squash-onto-a-living-branch guarantees conflicts on every future promotion,discovered 2026-08-16 promoting dev->main; PR #11 CONFLICTING/DIRTY across 7 files,none,"STRUCTURAL, REPRODUCED, and it worsens each cycle. main has required_linear_history, so promotion must be squash or rebase - both of which REWRITE SHAs. The squash lands on main as a NEW commit re-applying dev's earlier changes; dev keeps living and edits those same files again; from the common ancestor git then sees TWO INDEPENDENT change-sets. Measured this promotion: merge-base 118cfabc, 7 conflicting files (test_ci_floor_staleness.py, shaderlab-gate.js, WebGLMarineEngine.js, WebGLMarineShaders.js, marineCoverageContract.js, waterTempAnchor.js, COMPLETION_LEDGER_4.2.csv). THE OBVIOUS FIX IS THE TRAP: merging main back into dev resolves it and recreates exactly ed280c93 - the empty merge commit that blocked promotion FOUR times on 2026-08-16 and had sat there since the previous rebase-merge. That is the cycle: squash -> divergence -> reconcile-merge -> linear-history rejection -> squash. WORKED AROUND (not fixed) for this promotion by PR #12: a commit whose TREE is byte-identical to dev, parented directly on main, so conflict is impossible. Verified before opening: `git diff --quiet HEAD origin/dev` and HEAD^ == origin/main.",PR #11 CONFLICTING/DIRTY; git merge-tree origin/main origin/dev -> 7 conflicts; PR #12 f5f48525 tree-identical to f2ab8e41,"Pick the promotion model. THREE options, all owner decisions: (a) keep the tree-copy procedure used by PR #12 and write it into a runbook - zero conflicts, but main's history stops being a narrative and becomes a series of snapshots; (b) drop required_linear_history on main so a genuine fast-forward works and main == dev by SHA - restores real SHA parity, which is what the Audit 4.1 definition-of-done actually asks for, at the cost of allowing merge commits; (c) make main a protected mirror updated only by automation. ⛔ Whatever is chosen, the standing rule stays: NEVER merge main back into dev.",Record the chosen model in a runbook so the next promotion is procedure rather than rediscovery; until then reuse the PR #12 tree-copy recipe,"A written promotion procedure that produces zero conflicts and no merge commit in dev, demonstrated on one real promotion",B5,BLOCKED_OWNER_choose-promotion-model
