sha,date,subject,category,objective_or_task_ids,files_changed,insertions,deletions,runtime_reachable,runtime_reachable_detail,tests_added,is_revert_or_retraction,authority_effect,claimed_result,auditor_independent_check,disposition
844750220f065ad03bd15945888bbf6a49ced349,2026-08-15 10:51:31 -0400,docs(evidence): correct the zoomlab retention claim -- BOTH recordings survive,evidence,NONE,1,11,3,NO,NO,NONE,YES - retracts the 'the 08-13 recording is already gone' claim made 2 minutes earlier in bd52f0b0,NEUTRAL,"both zoomlab recordings are retained, so the next action becomes frame comparison rather than counter comparison","Same single evidence file, +11/-3. The retraction is real and same-day; the artifact expiry dates (2026-08-27 / 2026-08-29) are prose - UNVERIFIED, would need the GitHub artifacts API",SELF_CORRECTION
d4e4be319be3d5f96ad6efc9930f792716198878,2026-08-15 11:22:18 -0400,forensics(zoomlab): ROOT-CAUSED -- a fetch-arrival race gated at coverage 0.6,forensics,NONE,1,88,5,NO,NO,NONE,YES (partial) - REFUTES the band-fade dead-zone hypothesis by a within-run control,"NEUTRAL - no lever changed, only bracketed by measurement","the zoomlab MULT0 burst is a covering-grid arrival race against __RAW_DOWNGRADE_COVER_FRAC__=0.6, and the band-fade dead zone is refuted","Docs-only, one evidence file. The refutation is stated as a within-run control (band=1.0 across the burst, 58 green-run frames inside the dead zone at mult=1) which is the right shape of evidence, but the trace numbers are not in the repo - UNVERIFIED without the nightly artifacts",EVIDENCE_ONLY
6e4e44fbc2ef431dd6bc68596e6231817f41a6ea,2026-08-15 11:34:13 -0400,"fix(science): [WS-CAN-0072 / MC-01] the cap seam -- a rising sea can no longer DROP the published surf height (dark, SURF_CAP_SEAM_MONOTONE default OFF)",fix,"WS-CAN-0072, WS-CAN-0052, MC-01, D-4",5,364,22,YES,"YES - backend/services/weather_pipeline/surf_transform.py, surf_height_convention.py, backend/routes/admin/surf_forecast.py","backend/tests/test_surf_cap_seam_monotone.py (NEW, 12 test functions + 7 parametrize decorators); backend/tests/test_surf_height_convention.py (modified, +20/-8)",NO (but it corrects a 10-day-stale declared default in the admin registry),"ADDS_FLAG - new env flag SURF_CAP_SEAM_MONOTONE, default '0' at surf_height_convention.py:98, so the repair ships dark and the legacy seam keeps serving","the pre-conversion cap comparison is replaced by min(converted, gamma*d) at one shared point; flag OFF is byte-identical legacy","CONFIRMED at the diff. surf_transform.py:523 now returns publish_surf_height(H, cap, 'shelf' if H <= Hs_m else 'shoaling'); the legacy branch inside surf_height_convention.py:127-131 reproduces the old code exactly (if H >= cap -> (cap,'breaking') else to_surf_convention). Flag default OFF verified: os.environ.get('SURF_CAP_SEAM_MONOTONE','0') == '1'. The SURF_HEIGHT_H110 registry correction is INDEPENDENTLY CONFIRMED: surf_height_convention.py:74 reads os.environ.get('SURF_HEIGHT_H110','1'), so the admin panel's declared '0' was genuinely wrong. Two caveats: (a) describe() gains a 'cap_seam' key that IS emitted regardless of the flag; (b) the module docstring at surf_height_convention.py:42 STILL says 'DEFAULT OFF (SURF_HEIGHT_H110=1 to enable)' - the same stale-declaration class this commit fixed one file over, left unfixed. 'guards 1788/0, chain 790/0, estate 425/0' and '47 tests' are UNVERIFIED - no test run was performed here; 12 test functions x 7 parametrize decorators is consistent with 47 collected",SUBSTANTIVE_PROGRESS
2627e0e73717e990b166a39b82b4b2a1a3c2676c,2026-08-15 11:34:29 -0400,fix(ingest): [WS-CAN-0017 / MC-05] the range-integrity escape hatch EXTRACTS or REFUSES -- it never accepts a wrong-length body again,fix,"WS-CAN-0017, MC-05",4,126,17,YES,"YES - backend/services/noaa_gfs_{wave,wind,pressure}_fetcher.py","backend/tests/test_grib_range_integrity.py (+6 test functions, each @parametrize over 3 FETCHERS = +18 collected; 8 -> 14 functions)",NO,"REMOVES_AUTHORITY - narrows what the GRIB_RANGE_STRICT=0 kill switch is permitted to do: it can no longer return a wrong-length body, only a provable slice, else it raises",the escape hatch extracts a provable whole-file slice or refuses; log-and-continue is gone; default posture unchanged,"CONFIRMED at the diff in both files read. The old shape was 'if STRICT==0: stderr.write(...) else: raise' and the body still returned; the new shape puts 'raise RuntimeError(msg)' at the OUTER level so it fires on every unprovable path even with the switch thrown, and the permissive return is gated on (status_code == 200 and got > want and start + want <= got and content[start:start+4] == b'GRIB'). Test-function count 8->14 with 3-way parametrize exactly matches the claimed '18 new tests (36 in the file)'. Lane counts UNVERIFIED (no run performed)",SUBSTANTIVE_PROGRESS
f44cc87f25bc0192b93c8b190895b44f018c6c17,2026-08-15 11:39:40 -0400,"fix(routes): [WS-CAN-0073+0074 / MC-03+MC-07] an empty calibration instrument refuses, and the diagnostics ingress is bounded",fix,"WS-CAN-0073, WS-CAN-0074, WS-CAN-0009, WS-CAN-0010, WS-CAN-0063, MC-03, MC-07, MC-10",5,250,19,YES,"YES - backend/routes/weather.py, backend/services/weather_pipeline/{route_helpers,schemas}.py","backend/tests/test_client_diagnostics_bounds.py (NEW, 7 tests); backend/tests/test_report_calibration.py (+4 tests, 8 -> 12)",NO,"REMOVES_AUTHORITY (a calibration instrument can no longer report available:true over zero matched evidence) + ADDS_FLAG (REPORT_CAL_MIN_MATCHED, default '1')","/report-calibration refuses at n_matched < threshold; /client-diagnostics is length-bounded, log-rotated, newline-neutralised, and no longer leaks str(e)","CONFIRMED at the diff. weather.py:657 reads REPORT_CAL_MIN_MATCHED via max(1, int(...)) inside a try, and returns available:false with a reason naming n_matched/n_reports/min. schemas.py adds max_length on event_type(120)/model(60)/layer(60)/correlationId(120) and a field_validator rejecting details >4096 serialized bytes. The 500 detail is now the constant 'Failed to save diagnostic report'. route_helpers.append_diagnostic_line rotates once at DIAG_LOG_MAX_BYTES=5_000_000 and escapes \r/\n. NOTE: the rotation try/except swallows OSError silently (pass) - a best-effort fallback the docstring declares. +4 test functions in test_report_calibration.py matches the '4 route tests' claim; 7 in the new bounds file matches. Lane counts UNVERIFIED",SUBSTANTIVE_PROGRESS
8aa7aa93a6601148f8f72f9826336053c4db954d,2026-08-15 11:40:18 -0400,"docs(program): [Master Codex batch] registers, decisions D-4/D-5, gate addendum, batch evidence -- no gate claimed passed",docs,"WS-CAN-0072, WS-CAN-0073, WS-CAN-0074, WS-CAN-0017, WS-CAN-0052, WS-CAN-0005, WS-CAN-0021, WS-CAN-0039, D-4, D-5",6,199,2,NO,NO - all six paths under program/weather-simulation/,NONE,NO,NEUTRAL,"three new canonical register rows, two amended, decisions D-4/D-5, and a gate addendum that claims no gate passed","CONFIRMED by reading the diff: CURRENT_RELEASE_GATE_STATUS.md addendum is titled '(no gate claimed passed)' and its table marks WS-CAN-0072 'Gate 1 unchanged; owner flip required'; the WS-CAN-0017 and WS-CAN-0052 register cells are AMENDED by appending, not by overwriting the prior text. The dark-ship honesty holds: 'The served forecast is UNCHANGED by this batch'. Lane receipts (1788/790/425) are register CLAIMS, not evidence",DOCS_ONLY
834b1cfe6c956b3b300d46b93bc03d3f5c8dc4eb,2026-08-15 12:11:43 -0400,"fix(ci): floor pair-edit for the +76 batch tests -- CI-anchored, and D-5's mechanism corrected",ci,D-5,3,27,4,NO,NO - .github/workflows/ci.yml + a test constant + a program doc; no app code,"backend/tests/test_ci_floor_staleness.py (constant edit only, no new test)",YES (partial) - corrects D-5's stated mechanism in place,"ADDS_AUTHORITY - raises three CI floors: guards MIN_FILES 153->154 / MIN_PASSED 1735->1782, chain 780->784, estate 386->411","floors raised from the last green CI reading plus exactly the tests added, both halves of each pair edited together","CONFIRMED at ci.yml:605-612, :766-772, :1014-1022 and test_ci_floor_staleness.py:252 (_FLOOR_SET_FROM guards 1741->1788, chain 786->790, estate 388->413). All three moves are RAISES; no gate is weakened. The 'last green run 31864807822' anchor is a CLAIM - UNVERIFIED without GitHub run logs",SUBSTANTIVE_PROGRESS
e17f03328e4fc08dfcb42e00a128900eef23cc73,2026-08-15 12:16:36 -0400,fix(marine): bound the coarse-bridge hold -- the only fade-to-zero here without one (DARK),fix,D-4 (pattern); no WS-CAN id,4,313,6,YES,YES - frontend/src/components/map/WebGLMarineCustomLayer.js + new marineCoarseBridgeGrace.js,"frontend/src/components/map/marineCoarseBridgeGrace.test.js (NEW, 10 it()/test() blocks - matches the claimed 10)","NO - explicitly declines two prior approaches (b21cf29d revert, the from-hidden ease)","ADDS_FLAG + ADDS_FALLBACK - new window levers __RAW_COARSE_BRIDGE_GRACE__ (default unset = OFF), __RAW_COARSE_BRIDGE_GRACE_MS__ (4000), _RAMP_MS__ (350), _CEIL__ (1.0); the grace itself is a timed fallback reveal","the unbounded coarse-bridge fade-to-zero gains a 4 s grace + 350 ms ramp, default OFF and byte-identical to opacityMultiplier=0.0","CONFIRMED at marineCoarseBridgeGrace.js:51 - with __RAW_COARSE_BRIDGE_GRACE__ !== true the function returns {mult:0, state:null}, so WebGLMarineCustomLayer.js sets opacityMultiplier=0 and writes null telemetry: the off-path is behaviourally identical. NEW STATE OWNER on the engine: engine.__coarseBridgeGrace (cleared each frame at the top of render) plus window.__RAW_GPU__.coarseBridgeGrace telemetry. Not a new RAF/worker/cache owner. One unconditional added cost: map.isZooming()/isMoving() is evaluated on every bridge frame even when the flag is off. The three trace timings (18,836 / 4,874 / 0 ms) are prose - UNVERIFIED; the commit itself states 'Live A/B with the flag on is still owed'",SUBSTANTIVE_PROGRESS
ef72e56fb88cafadb5d1fabd1a18c7cea055c1fe,2026-08-15 12:41:48 -0400,"docs(evidence): push/deploy/CI receipts for the Master Codex batch -- three exact lane predictions, two live proofs, one environmental E2E red",evidence,"MC-03, MC-07",1,18,0,NO,NO,NONE,NO,NEUTRAL,deploy verified at /api/health embedding 834b1cfe; MC-03 and MC-07 proven live on production; CI read guards 1788 / chain 790 / estate 413 exactly as predicted,"One evidence file, +18/-0. Every claim here is an external observation (production endpoint responses, CI run counts) with no artifact committed alongside - UNVERIFIED from the repo. Note the same file is amended by 8454e09a minutes later and the 'estate 413' prediction claimed correct here is contradicted three commits on by ce66f6f4/e0fb3289, which record CI reading estate 416 and chain 799 for the NEXT batch",EVIDENCE_ONLY
8454e09ae90d3f26c4638c4326e80db7a59a6278,2026-08-15 12:53:05 -0400,docs(evidence): E2E rerun green -- the environmental classification's own control passed; every workflow on 834b1cfe is green,evidence,NONE,1,1,1,NO,NO,NONE,NO,NEUTRAL,"the E2E re-run went green, so every workflow on 834b1cfe is green","A one-line edit to MC-BATCH-2026-08-15.md. NOTE: this 'all green' framing is itself walked back 15 minutes later by ada91c8e, which shows the run's attempt 1 was a real FAILURE that the re-run erased from every default view",EVIDENCE_ONLY
c74a1ed6df97c19833dc81f73972d225b36a4350,2026-08-15 13:01:01 -0400,evidence(zoomlab): live A/B -- the grace halves hidden time and is inert when idle,evidence,NONE,1,53,5,NO,NO,NONE,NO,NEUTRAL - no lever shipped; the flag stays off,"four staircase runs show hidden time -52.4% and MULT0 frames -43% with the grace on, and a run identical to control at the natural lever","Docs-only. This DOES discharge the 'live A/B still owed' debt e17f0332 recorded, and it is unusually honest about its own limits: the natural blank did not reproduce locally (the lever was FORCED to 1.0), the ramp was never observed (0 frames with 0<mult<1), and arm B still fails the budget. The four run tables are prose - UNVERIFIED from the repo",EVIDENCE_ONLY
ada91c8ea7de3b508a996fb8d6fe75cd0c6b23c7,2026-08-15 13:08:46 -0400,evidence(ci): the e2e red was REAL -- a re-run erases it from every default view,evidence,NONE,1,48,0,NO,NO,NONE,YES (partial) - corrects the 'every workflow green' framing of 8454e09a 15 minutes earlier,NEUTRAL,"a re-run overwrites the run's top-level conclusion, so three independent CI queries were blind to a real E2E failure; 12 of 47 tests needed a retry","Docs-only, one evidence file. The finding is a real instrument blind-spot class (attempt-1 conclusions invisible to gh pr checks / run list). The '12 of 47' headline is retracted by the author himself in the very next commit f36dc669",EVIDENCE_ONLY
f36dc669d033b2c18b7d4ed8735028e4dd8eac27,2026-08-15 13:37:39 -0400,"evidence(ci): CORRECTION -- the e2e flake load is chronic, not the bad attempt's",evidence,NONE,1,43,3,NO,NO,NONE,YES - retracts ada91c8e's '12 of 47 needed a retry' as a new signal; a 10-run census shows 6 of 9 completed runs carry 5-12 flaky and all report success,NEUTRAL,the E2E retry budget is chronic and load-bearing across the suite; the environmental verdict is strengthened by a 9-observation outlier test rather than one pairwise comparison,"Docs-only, +43/-3 to the same evidence file. Second same-day self-correction on the same claim chain (8454e09a -> ada91c8e -> f36dc669). The methodological note that two regexes failed before the census worked (one over-counting, one silently returning <none> for 6 of 8 runs) is the kind of instrument-failure disclosure this program's own rules demand. Census numbers UNVERIFIED from the repo",SELF_CORRECTION
bf8fb4cd9295188fd7c68002bb5aab98fb305402,2026-08-15 13:57:15 -0400,"fix(config): [WS-CAN-0075 / MC-09] a config typo can no longer kill a serving module at boot, and Semaphore(0) can no longer deadlock the batch route",fix,"WS-CAN-0075, MC-09, MC-08, MC-07",17,358,23,YES,"YES - backend/routes/{health.py, weather.py, surf_data/conditions.py} + 12 backend/services/weather_pipeline/* including surf_rating.py","backend/tests/test_config_env.py (NEW, 9 tests); backend/tests/test_startup_config_hardening.py (NEW, 3 tests) = 12, matching the claim",NO,"ADDS_FALLBACK - a mis-typed numeric env var now degrades to the shipped default (stderr warning only) instead of crashing at import; out-of-range values clamp. This deliberately trades fail-fast for fail-soft on config, and the warning goes to bare sys.stderr, not the logger",22 module-level numeric env parses routed through env_int/env_float; SPOT_RATINGS_CONCURRENCY floored at 1 so Semaphore(0) cannot deadlock /conditions/batch; /api/health publishes a redacted config fingerprint,"CONFIRMED at the diff. conditions.py:48-53 replaces int(os.environ.get('SPOT_RATINGS_CONCURRENCY','6')) with env_int(..., 6, lo=1, hi=64); weather.py:326 gets the same clamp so the two call sites of ONE env var now share one policy. config_env.py:32-48 implements the typo->default and clamp behaviour; env_float additionally rejects NaN (val != val). health.py:147-208 adds a 'config' key wrapped in try/except that never breaks the endpoint. NOTE: compute_config_fingerprint does a function-scoped services->routes import of _RATING_FLAGS - a declared layering exception, and it means a broken admin route module silently degrades the fingerprint to nulls. Second NOTE: the fingerprint hashes os.environ.get(name, default), so a var set to its default value is indistinguishable from unset. Lane counts (guards 1788/0, chain 790/0, estate 437/0) UNVERIFIED - no run performed here",SUBSTANTIVE_PROGRESS
d4c6f48791e8716479e26029408269cf4a3adcd6,2026-08-15 13:57:31 -0400,docs(program): WS-CAN-0075 registered + the nearshore outcome-loop packet (proposed WS-CAN-0076) with its measured feasibility census,docs,"WS-CAN-0075, WS-CAN-0076, MC-09",5,307,0,NO,NO - all five paths under program/weather-simulation/,NONE,NO,NEUTRAL,"registers MC-09 and scopes the nearshore outcome loop against a measured CDIP/spot-catalog census (53 instruments, 35 spots within 10 km)","Pure-addition docs commit (+307/-0), no deletions of prior register text. The census numbers are carried in a committed artifact (nearshore-outcome-loop-census-2026-08-15.json, 152 lines) rather than prose only, which is stronger than the evidence-file-only pattern elsewhere in this batch - but the JSON's provenance (which CDIP pull, when) is UNVERIFIED without re-running the query",DOCS_ONLY
be6a705a32807f8d1c8f0525b1979c36c5ba9e44,2026-08-15 13:58:26 -0400,fix(ci): estate floor pair 413/411 -> 425/423 for WS-CAN-0075's 12 new tests,ci,"WS-CAN-0075, D-5",2,6,2,NO,NO - .github/workflows/ci.yml + a test constant,backend/tests/test_ci_floor_staleness.py (constant edit only),NO,ADDS_AUTHORITY - raises the estate floor MIN_PASSED 411 -> 423,"CI-anchored raise: last green observed 413, +12 new tests = 425, floor 423","THE ARITHMETIC WAS A PREDICTION, NOT A READING, AND IT BROKE CI. Two commits later ce66f6f4 records that CI read 416 (only 3 of the 12 tests land in this lane) and that BOTH lanes of this very commit (runs 31900011802 push / 31900014330 PR) failed with 'only 416 passed, floor is 423'. The commit message's own '425' is the number ci.yml labels four lines above as this lane's forbidden LOCAL read. Third instance of this exact over-raise per the register's L-2",REGRESSION_RISK
d72444b5c6472c1a65d0dde84efd99bbed22b3f2,2026-08-15 14:03:33 -0400,"evidence(WS-CAN-0040): the Render env read, reconciled -- Gate 0 item met",evidence,WS-CAN-0040,1,103,0,NO,NO,NONE,"YES (partial) - retires the Shark Pit parity inference, which rested on an unread RATING_BREAKER_TYPE assumption","NEUTRAL - a read, not a write; no flag changed",SPOT_RATINGS_CONCURRENCY is unset on Render (code default 6 applies at both semaphores); three-lane parity clean; the height pair is set in no environment; SURF_CAP_SEAM_MONOTONE confirmed off in production,"PARTIALLY CONFIRMABLE from the repo. I verified independently that SURF_CAP_SEAM_MONOTONE and SURF_HEIGHT_H110 appear in NEITHER .github/workflows file (git grep over .github/workflows returns nothing), which corroborates the 'set in no environment' half. The Render-panel half is an owner screenshot read - UNVERIFIED and unverifiable from the repo, and the commit itself discloses that ~10 override VALUES are masked, the listing may be truncated, and 269 vars are at defaults 'by deduction rather than disclosure'",EVIDENCE_ONLY
ce66f6f4a815029382cabe5a818aa89d820277d9,2026-08-15 14:12:46 -0400,"fix(ci): estate floor 423 -> 414 -- the raise was a PREDICTION, CI read 416",ci,L-2 (register lead),2,19,2,NO,NO,backend/tests/test_ci_floor_staleness.py (constant + comment),YES - reverses be6a705a's estate raise 14 minutes after it shipped,"REMOVES_AUTHORITY - lowers estate MIN_PASSED 423 -> 414. NOT a net weakening: the pre-batch floor was 386 and 834b1cfe had it at 411, so 414 is still a raise against every prior baseline","the 423 floor was arithmetic on the last reading rather than a reading; CI observed 416, so the floor is set to 414 and _FLOOR_SET_FROM to 416","CONFIRMED at ci.yml:1026-1038 (MIN_PASSED = 414 with the correction rationale inline) and test_ci_floor_staleness.py:252-258 (_FLOOR_SET_FROM estate 425 -> 416). Verified independently that this is a correction and not a gate weakening: 414 > 411 > 386. The commit also discloses the real arrangement gap - the staleness checker is one-sided and reports 'every floor is current' at 423-vs-413, so nothing catches an over-raise at the moment it is made",SELF_CORRECTION
e0fb32897d4f245dc0acd5c2c34b8ddbfd6341f0,2026-08-15 14:23:27 -0400,"fix(ci): chain floor pair 784/790 -> 793/799 -- the selector routed test_config_env to CHAIN, and the author's estate prediction was wrong twice over",ci,"NONE (references ce66f6f4, be6a705a)",3,17,2,NO,"NO - ci.yml, a test constant, and a program evidence file",backend/tests/test_ci_floor_staleness.py (constant edit only),YES (partial) - corrects the MC09 evidence file's mis-claim in place and completes the correction ce66f6f4 started,ADDS_AUTHORITY - raises chain MIN_FILES 85 -> 86 and MIN_PASSED 784 -> 793,"the lane selector routed test_config_env.py (9 tests) to chain, not estate; chain read 799 so the floor becomes 793","CONFIRMED at ci.yml:769-778 and test_ci_floor_staleness.py:257 (_FLOOR_SET_FROM chain 790 -> 799). The root cause named - an untracked file is invisible to ci_test_lanes.py, so the author's lane prediction was never checked against the selector - is a real and specific mechanism, and it is recorded at the floor itself rather than only in a commit message. CI run readings UNVERIFIED from the repo",SELF_CORRECTION
0509b1ec5aafd25335d31137079d3ca495ca4e4c,2026-08-15 13:57:15 -0400,"fix(config): [WS-CAN-0075 / MC-09] a config typo can no longer kill a serving module at boot, and Semaphore(0) can no longer deadlock the batch route",merge,"WS-CAN-0075, MC-09, MC-08, MC-07",17,358,23,YES,YES (same paths as bf8fb4cd) - but adds no content the tree did not already have,"same two files as bf8fb4cd - a duplicate, not an addition",NO,NEUTRAL - duplicate of bf8fb4cd; no additional authority effect on the merged tree,identical to bf8fb4cd,"PATCH-IDENTICAL DUPLICATE of bf8fb4cd - verified by git patch-id --stable (both 16983d585541df7a889e21654fc55b04a41739bf). It sits on the parallel main-rebase line that git log --graph shows reconciled back into dev at merge ed280c93. Its parent is f36dc669, the same parent bf8fb4cd has. The range 791fdf78..fb50fa6d therefore double-counts this change",CHURN
7362bab496d5ca6b93ce66fe07720fed3f624de7,2026-08-15 13:57:31 -0400,docs(program): WS-CAN-0075 registered + the nearshore outcome-loop packet (proposed WS-CAN-0076) with its measured feasibility census,merge,"WS-CAN-0075, WS-CAN-0076, MC-09",5,307,0,NO,NO,NONE,NO,NEUTRAL - duplicate of d4c6f487,identical to d4c6f487,"PATCH-IDENTICAL DUPLICATE of d4c6f487 - git patch-id --stable 8df008e90504731acfc9339d09625ebf95fdd82e for both. Parallel rebase line, reconciled at merge ed280c93",CHURN
7bb7b9d68931406aeb892748ce299818879eae97,2026-08-15 13:58:26 -0400,fix(ci): estate floor pair 413/411 -> 425/423 for WS-CAN-0075's 12 new tests,merge,"WS-CAN-0075, D-5",2,6,2,NO,NO,"NONE (constant edit only, duplicated)",NO,"ADDS_AUTHORITY on its own line (estate 411 -> 423), but it is the duplicate of be6a705a and is superseded on the same line by dd9dadff",identical to be6a705a,PATCH-IDENTICAL DUPLICATE of be6a705a - git patch-id --stable cbfa8d0ef26612692793dba9b3e9bacd9948b599 for both. Carries the same over-raise defect that reddened CI on the original,CHURN
72a8edba4c2ee13a5763c74cafcfdc786728d0cc,2026-08-15 14:03:33 -0400,"evidence(WS-CAN-0040): the Render env read, reconciled -- Gate 0 item met",merge,WS-CAN-0040,1,103,0,NO,NO,NONE,NO,NEUTRAL - duplicate of d72444b5,identical to d72444b5,PATCH-IDENTICAL DUPLICATE of d72444b5 - git patch-id --stable 39eb08bd67e66dacca44deecd7997ae325f7f49f for both. Parallel rebase line,CHURN
dd9dadff7f662f00596c07d55f72aa02166e8677,2026-08-15 14:12:46 -0400,"fix(ci): estate floor 423 -> 414 -- the raise was a PREDICTION, CI read 416",merge,L-2,2,19,2,NO,NO,"NONE (constant + comment, duplicated)","YES - duplicate of ce66f6f4, which reverses the 7bb7b9d6/be6a705a estate raise","REMOVES_AUTHORITY (estate 423 -> 414) - a correction, still above the 411 and 386 baselines",identical to ce66f6f4,"PATCH-IDENTICAL DUPLICATE of ce66f6f4 - git patch-id --stable e06d37ea4a5b5f16058747bc0271f6f9e079e46b for both. Parallel rebase line; it is the parent of 118cfabc, the duplicate of e0fb3289 that falls just outside this batch",CHURN
118cfabc1aeee3defe4eb0e3a4c770d3efc511c5,2026-08-15,"fix(ci): chain floor pair 784/790 -> 793/799 -- the selector routed test_config_env to CHAIN, and the author's estate prediction was wrong twice over",ci,NONE (names MC09-config-hardening evidence file only),3,17,2,NO,NO — .github/workflows/ci.yml + backend/tests only; nothing shipped to the app,"backend/tests/test_ci_floor_staleness.py (1-line constant edit, no new test)",YES — retracts the author's own earlier lane-membership prediction and corrects the MC09-config-hardening evidence file in place,"ADDS_AUTHORITY — CI chain gate raised (MIN_FILES 85->86, MIN_PASSED 784->793), so more tests must pass to go green",chain floor corrected to the selector's actual CI reading of 799,"CONFIRMED in diff: .github/workflows/ci.yml:769-782 `MIN_FILES, MIN_PASSED = 85, 784` -> `86, 793`; backend/tests/test_ci_floor_staleness.py:257 `_FLOOR_SET_FROM` chain 790->799. Pair edited together and the 6-below budget is preserved (799-793=6), which is what the repo's own paired test requires. ⚠️ THIS SHA IS A DUPLICATE: it is main's rebase-copy of dev's e0fb3289 (byte-identical subject; `git log --grep 784` returns both) and entered dev history only via the merge ed280c93.",SELF_CORRECTION
9d8b2ad9c73d856bc5dafd399f7d418d7db3be65,2026-08-15,feat(conditions): [WS-CAN-0064 / Mission 4] /conditions/batch serves from the precomputed frames -- the architectural repair the measurements demanded,feat,"WS-CAN-0064, WS-CAN-0040, WS-CAN-0039 (cited in code comment)",9,355,14,YES,"YES — backend/routes/surf_data/conditions.py, backend/routes/weather.py, backend/routes/admin/surf_forecast.py, backend/services/weather_pipeline/spot_ratings.py","backend/tests/test_conditions_batch_precompute.py (NEW, 220 lines); test_spot_conditions_batch_bounds.py (+9); test_spot_rating_wire_contract.py (+9/-2); test_ci_floor_staleness.py (1 line)",NO,"ADDS_FLAG + ADDS_FALLBACK — new env kill switch CONDITIONS_BATCH_PRECOMPUTED defaulting ON (backend/routes/admin/surf_forecast.py:229-235, read at conditions.py `lane_on`), plus a per-spot live fallback AND a blanket `except Exception` that degrades the whole precomputed lane silently at logger.debug level; also ADDS_AUTHORITY via chain floor 793->801","/conditions/batch answers per spot from precomputed rating frames, live fallback for anything a frame cannot answer, byte-shape frozen","CONFIRMED in diff. conditions.py now builds a `pre` map from `pick_precomputed_frame` BEFORE any DB access and only queries SurfSpot for `live_ids` (the unconditional `select(SurfSpot).where(SurfSpot.id.in_(ids))` is now guarded by `if live_ids:`). New additive top-level key `conditions_source` {source, precomputed, live, served_valid_time}. routes/weather.py:337-338 declares `swell_from_deg`/`offshore_hs_m` on SpotRatingItem (without which Pydantic drops them); spot_ratings.py:283-291 emits both from rate_one_spot. `os`, `datetime`, `timezone` are already imported at conditions.py:5,8 so the new code resolves. The ~8-10% blob-tax figure and the p50 latency claim are NOT verifiable from this diff — the commit itself embargoes the latency claim, which is honest.",SUBSTANTIVE_PROGRESS
82ef5c0e22192ac62f6a26ddbc0017b952b21dbb,2026-08-15,docs(program): WS-CAN-0064 REPAIRED (architectural half) -- register + evidence with the honest live-claim embargo,docs,WS-CAN-0064,2,62,1,NO,NO — program/weather-simulation/ register CSV + evidence markdown only,NONE,NO,"NEUTRAL — register/evidence text only, no gate or code path touched",WS-CAN-0064 marked REPAIRED for the architectural half with the live-latency claim explicitly embargoed,"Diff is CURRENT_TASK_REGISTER.csv (1 row) + a new evidence markdown. The embargo language is present, which matches the code commit 9d8b2ad9. No measurement is asserted here that the diff cannot support.",DOCS_ONLY
ed280c93cafe10df40abf5118461bb01279fef88,2026-08-15,merge: reconcile main's rebase-merged history back into dev,merge,NONE,0,0,0,NO,NO — zero content change,NONE,NO,NEUTRAL — content-neutral by construction,"reunites ancestries with dev's tree unchanged (ours strategy via commit-tree), zero bytes of content changed","CONFIRMED: `git diff --stat ed280c93^1 ed280c93` returns EMPTY, and `git show --shortstat` prints no file line. Parents are 82ef5c0e (dev) and 118cfabc (main's rebase-copy). ⚠️ DOWNSTREAM COST, self-reported by 8a3776bd in this same batch: main carries `required_linear_history: true`, so this empty merge in dev's history caused GH006 and blocked promotion by fast-forward, costing four merge attempts.",CHURN
04e6dca5e108eb819ad48e469010e6c8b5995d97,2026-08-15,"fix(tests): the GWAM shadow suite anchored each comparison leg to the WALL CLOCK -- two legs across a top-of-hour reddened on time, not physics",test,NONE,1,9,2,NO,NO — backend/tests only,backend/tests/test_gwam_vector_blockmean_loop_shadow.py (modified helper `_run`),NO,"NEUTRAL — determinism fix, no assertion relaxed",both legs of the kill-switch comparison now share one frozen instant; 10/10 green,"CONFIRMED and NOT a weakening: the monkeypatched `_pick_cycle` lambda changes from deriving the cycle off the passed-in `now` to a frozen `_t0 = datetime(2026,1,15,6,30,tzinfo=utc)`. The byte-identity assertion itself is untouched; only the clock input is pinned. This is the correct fix shape (freeze the shared input, do not relax the comparison). The cited CI run 31913293201 is a CLAIM I cannot verify from the repo.",SUBSTANTIVE_PROGRESS
c4a8a31562cbd6e18f13a8281a0f4a59c7811289,2026-08-15,"docs(program): [WS-CAN-0064] the live measurement -- 30 production spots in 0.40-0.59 s, all precomputed, vs ~11.4 s before",evidence,WS-CAN-0064,2,18,7,NO,NO — register CSV + evidence markdown only,NONE,"NO — it LIFTS the embargo 82ef5c0e set, it does not retract it",NEUTRAL,"three read-only production measurements: 30 spots in 0.40-0.59 s, precomputed=30 / live=0, ~22x vs the audited 0.380 s/spot linear baseline","UNVERIFIABLE from the repo — the diff is prose in an evidence markdown plus one register row; no timing artifact, no raw response, no script output is committed. The claim is internally consistent with 9d8b2ad9's code path (a full frame hit does bypass the resolver and the DB, which the diff does show), but the numbers themselves rest entirely on the author's word.",EVIDENCE_ONLY
