Area,apparent_concern,covered_by,why
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"capabilities.py declares provider and upstream_provider as 'open-meteo' for GFS-wave, GWAM and ICON rows, even though the NOAA/DWD direct fetchers are default-ON, so /api/weather/capabilities misattributes the real upstream","SOTA A1 (MET, verified LV-05/LV-06)","Killed on evidence. normalizer.py:684-688 overrides upstream_provider from each direct fetcher's own __provider stamp on every product, and normalizer.py:662-683 documents both the 2026-07-30 measurement that motivated it and that upstream_provider is 'branched on nowhere, backend or frontend'. Consumers read the PER-RESPONSE field, not the capabilities table: marineGridSeries.js:250-254, backendWeatherServiceClientHelpers.js:173 and :284, backendCopernicusServiceClient.js:93, marineControllerExtractor.js:129. TruthOverlay.js:294-304 additionally maps source_dataset to NOAA/DWD/Copernicus/ECMWF for display and its comment names the capabilities value as a 'channel key'. The stale table value"
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"Every capability row except EURO marine declares fallback_sources: [] while real Open-Meteo fallbacks exist for GFS, ICON and ECMWF, so a consumer of /capabilities cannot see that a fallback exists",capabilities.py contract validator (:607-635) and its own note at :384,"Killed as deliberate. The validator actively RAISES if a non-EURO marine row carries a non-empty fallback_sources ('non-EURO marine row must have empty fallback_sources, got N'), and :384 states 'fallback_sources stays [] — the locked contract restricts that field to EURO marine'. This is an enforced contract decision with a guard, not an omission. Reporting it would be arguing with a documented design, not finding a gap."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"None of the six GRIB fetchers mounts a urllib3 Retry or HTTPAdapter, so a transient 5xx or connection reset fails the step with no retry","Existing in-code mitigations, verified at HEAD","Killed on evidence. The failure mode is bounded four ways: _pick_cycle walks back 7 cycles / ~36 h (noaa_gfs_wave_fetcher.py:198-213); every step is wrapped in try/except with steps_ok/steps_failed accounting; a soft deadline (NOAA_FETCH_BUDGET_S default 2400, :354) returns completed steps rather than discarding them; and a minimum-hours floor (NOAA_FETCH_MIN_HOURS default 120, :601) plus backend/tests/test_noaa_coverage_floor_fires_on_failures.py make a degraded run visible. Connection cost — the real measured problem — was already fixed by _fetch_common.http_session() (480.6 -> 134.1 ms/call) and is guarded by backend/tests/test_fetcher_http_pooling.py, which fails if a fetcher reaches .ge"
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"The production Netlify site is 85 days stale, so the audited weather-proxy and rvproxy code is not the code production serves",WS-CAN-0039 / WS-OBJ-104 / SOTA A18,"Already registered as P0-owner with a measurement (BUILD_VERSION 3bd38a83, 2026-08-12). I record the dependency-specific consequence in the evidence file — production is pinned to a deploy predating the RainViewer edge proxy and the current weather-proxy, so its provider mitigations are not the ones audited — but the underlying item is owned."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"Nothing in git states which environment variables the live Render service actually has, so proxy, direct-fetch and rating flags cannot be confirmed in production",WS-CAN-0040,"'Read the production Render environment variable screen', P0-owner, Blocked. render.yaml's own header proves the Blueprint is not applied (three independent checks, 2026-08-10). My GAP-DEP-03 is reported as Verify precisely because it is downstream of this task rather than a duplicate of it — 0040 is the generic instrument, GAP-DEP-03 is the specific unanswered question and the specific risk if the answer is 'unset'."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,Two committed credentials remain reachable in git history,WS-CAN-0021 / WS-OBJ-703,"Cross-checked as instructed. It is scoped to BRAIN_RULES.md and to secrets-in-history. It does not cover provider terms of use, quota, cost or availability, so it does not absorb GAP-DEP-02 or GAP-DEP-04. No credential VALUE was read or reproduced in this audit; the credentialed provider paths are named by file:line only (copernicus_global_fetcher.py:240-241, store.py:230-231, mapUtils.js:153, requirements-dev.txt:69-70 for ~/.cdsapirc)."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,The RainViewer radar layer depends on a free third-party CDN that rate-limits per IP,frontend/netlify/edge-functions/rvproxy.js (shipped mitigation),"Killed — this is the best-managed provider dependency in the estate and needs no task. Same-origin edge proxy so the user's IP is never the rate-limit subject; durable Netlify CDN cache (max-age=172800) so RainViewer sees roughly one request per unique tile per two days; the catalog gets a 60 s shared cache; errors are explicitly no-store so a fresh frame self-heals; and the path regex is scoped to radar tiles only, which forecloses an open proxy / SSRF. The only unmet item is the RainViewer credit, folded into GAP-DEP-04."
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,The backend waits 45 s on a Netlify function whose synchronous limit is 10 s,netlify.toml:29-32 (existing design note) — and killed on harm analysis,Killed. The mismatch is asymmetric in the safe direction: the function is killed first and the backend receives a 502 at roughly 10 s rather than hanging for 45. netlify.toml already carries a note (2026-07-13) recording the ~10-26 s window and instructing that the /api/weather/* function hop must not be re-added for exactly this reason. Recorded in the evidence file as context for GAP-DEP-03; not a standalone finding.
EXTERNAL DEPENDENCY + PROVIDER RISK (audit spec §18) — every,"Nominatim (OpenStreetMap) is called directly from the browser at five sites with no identifying User-Agent, against a policy that requires one and caps at 1 req/s",Out of area — not on the weather path,"Traced the consumers: useOnDemandLocation.js:45,50 is imported only by useOnDemandBooking.js:12,109 (photographer booking), and the remaining sites are LocationPicker.js:173, PreSessionConfigModal.js:30,58, SurfLog.js:184 and BookingPricingModal.js:382 — all session/booking surfaces. None is reached from the weather map or any forecast surface. Recorded in the evidence file so it is not lost, but routed out of audit spec §18."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,coarse_gulf_fill substitutes GFS values into EURO/ICON coarse products with no provenance — it stamps neither is_estimated nor estimate_basis,Not a defect — killed by re-measurement,"My first grep used the wrong needle. The module stamps a DEDICATED field, product.coarse_fill = {'donor_model': 'GFS', 'layer': ...} at :168, guards the un-stampable case with an explicit 'PROVENANCE LOST' error branch at :173-176, and asserts the field reaches the wire via `'coarse_fill' in model_dump_json()` at :161. This is exemplary disclosure, not a gap."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,The wind forecast_cache fallback time-shifts a stale snapshot onto current dates and could serve recycled data as a live forecast,"WS-CAN-0004 (estimate_basis serialization, Verified Current)","wind_ingestion.py:238-241 sets _cache_basis = {'type':'stale_cache_recycled','method':'time_shifted_forecast_cache','source_model':...} and threads it through normalize_and_save_loop; grid_series_helper.py:58-63 serializes estimate_basis, already receipted. The path is disclosed — and separately it cannot fire at all (CG-BE-01)."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,"The z8/z9/z10 tier ladder (product_selection, mid_res_tier, grid_resolver, grid_resolver_selection) is a large unowned subsystem",WS-OBJ-205 + WS-CAN-0033,"WS-OBJ-205 'Deterministic product selection' names the marine fetch ladder z8/z9/z10 as its Current Architecture Owner and carries WS-CAN-0033 (Critical, Repair) with the measured non-monotonic evidence 0.64/6.8 -> 0.44/3.1 -> 0.64/6.8. The behaviour has an owner even though the module filenames are not quoted."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,"science_registry.py is imported only by tests, so CLAUDE.md's 'constants live in science_registry.py, never a bare literal' describes something that is not a runtime authority","WS-CAN-0042 (science_registry ratchet, d12d363c)","Confirmed test-only — the only 2 production mentions are prose at surf_transform.py:159 and :301, against a positive control where surf_rating returns 5+ production files. But this is the module's documented design (docstring :14-29: the registry declares published RANGES and a test walks outward), and the ratchet already carries a WS-CAN. Recorded so it is not re-derived, not filed."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,The 11 sim_* modules are unreachable from server.py — a whole subsystem outside the served application,WS-CAN-0006 + WS-OBJ-002; sim_forecast and sim_observed are named in the register directly,"Correct but by design: the sim is a separate MCP server process (backend/weather_sim_mcp.py), and its composition parity is graded by sim-parity-monitor.yml (cron 20 5,11,17,23) with WS-CAN-0023 Verified Current. The disclosure question that remains (does a sim answer name its model) is exactly WS-CAN-0006."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,Which forecast job production actually runs is unknowable — ingest_marine_forecast and periodic_l2_restore are mutually exclusive on an env var not in git,"WS-CAN-0040 (read the production Render environment variable screen, P0-owner, Blocked)","scheduler/__init__.py:172 branches on DISABLE_FORECAST_SCHEDULER, and render.yaml's own header states the blueprint is NOT applied to the live service. This is precisely the one-dashboard-screen owner task already open as WS-CAN-0040."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,/api/conditions/batch and the nine 200-with-error sites in routes/surf_data/conditions.py,WS-CAN-0064 + WS-CAN-0009 (WS-OBJ-302 / WS-OBJ-103),"Both open, both already scoped to the same file with the register explicitly recommending one visit closes both. Re-measuring was out of scope for a static inventory and would have added nothing."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,"run_time on ingested products is the wall clock, not the model cycle, across all 28 ingest jobs",WS-CAN-0005 (WS-OBJ-202),"normalizer.py:142-144 defaults run_time to now() and no caller passes run_time=, exactly as the register's 12.1 scope finding records; the staged four-step plan is already written there. Nothing in my walk changes that analysis."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,0.25-degree regional tile coverage and the WORLDWIDE_REGIONS_PER_CYCLE divisor spanning two workflows,WS-CAN-0058 (WS-OBJ-601),"pilot_regions (12 worldwide, rotating 3) + REGIONAL_CONFIGS (2 flagship) and the '3' in both forecast-ingest.yml:72 and forecast-ingest-pilots.yml:72 are exactly the coupled pair the task describes, with the cadence-measurement gate already specified."
BACKEND WEATHER PIPELINE — backend/services/weather_pipeline,No end-to-end integrity check on ingested products — only 2 hashlib uses in the pipeline,WS-CAN-0017 (WS-OBJ-304),"Independently re-confirmed while mapping the cache tiers: store_helpers.py's hash use is a manifest-restore SKIP optimisation (MANIFEST_RESTORE_SKIP_UNCHANGED), not a product checksum. Identical to the register's standing description; adds nothing new."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",WeatherTelemetry runs a requestAnimationFrame loop from module import with no cancelAnimationFrame anywhere in the file,WS-CAN-0022 / WS-OBJ-301,"Named verbatim in the task's Current Files / Symbols (WeatherTelemetry.js:397-399) and already runtime-confirmed by LV-04 (activeRafCount 1 with activeLayers []). Re-verified present at HEAD (2 requestAnimationFrame, 0 cancelAnimationFrame in WeatherTelemetry.js) and deliberately not re-reported."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts","force_wind_fallback / force_marine_fallback persist a guardrail trip across reloads (MapWebGL.js:95-101,757-759)",WS-CAN-0022,'persisted force_*_fallback keys' is one of the four named residuals in the task title.
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",TruthOverlay sends a fabricated fps of 60 on the only client-to-server transport,WS-CAN-0063 (closed 69ac3ddb) / WS-OBJ-506,Verified repaired at HEAD — TruthOverlay.js:126 now reads `?? null` and TruthOverlay.fpsHonesty.test.js pins it with mutation-proven source guards. Not re-reported per the recent-closures list.
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts","getSharedValidTime rounds to the nearest hour while the backend floors, so the two lanes disagree during minutes 30-59",WS-CAN-0016 / WS-OBJ-202,Verified unchanged at HEAD (backendWeatherServiceClient.js:192 Math.round(baseTime/3600000)) and correctly scoped by the existing open task. Only the task's missing DEFAULT-scrubber site is reported separately as FE-GAP-05.
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",__RAW_MARINE_ARBITER__ ships a second commit reducer dark while the branch-heavy chain stays live,"WS-CAN-0043 / WS-OBJ-402, with a proposed exit condition at RELEASE_GATE_AND_DEPENDENCY_GRAPH.md:80-90","This is the one flag the program tracks; FE-GAP-01 is about the other 24 dark opt-ins, not this one."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",marineMaskShelter's settle-debounce ships default-OFF with a visible-behaviour risk,WS-CAN-0032,"Explicitly 'Preserve but Do Not Modify — a human must look at a pan before promotion', with a proposed exit condition in the same table."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",The ICON >168 h blend is decided client-side at backendWeatherServiceClient.js:272,WS-CAN-0007 / WS-OBJ-206,Verified unchanged at HEAD as the unconditional per-hour path; already the third tracked dual path.
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",The om:// raster lane saturates past the end of a model's axis and paints the last frame under a later hour,"SHIPPED DISCLOSURE — modelHorizons.js:72 -> modelProvenance.js:97-116 -> MapForecastOverlay.js:248,753-761","I set out to report this and killed it: the banner text ('Showing +N h — the furthest this model carries') is rendered end to end, in words rather than colour alone, and correctly refuses on a bootstrap axis. Only the MARINE twin lacks it, which is FE-GAP-06."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",modelHorizons exports isBeyondAxis/axisHorizonHours that look built-but-unwired (the WS-CAN-0014 shape),"modelProvenance.js:23,105-106","Killed by grep: both are imported and called by describeStaleHour, which reaches the UI. The 11.0 commit ledger entry for a71b45d3 that says 'NOT WIRED TO ANY DISCLOSURE' was true of that commit only; f0c29ebb wired it."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",useRasterTransactions.js has 3 requestAnimationFrame and 0 cancelAnimationFrame,n/a — not a defect,"Killed by reading: all three are one-shot RAFs, and the flush path carries a stale-token guard (`if (token !== flushTokenRef.current) return;` at :131). Nothing recurs, so there is nothing to cancel."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",prefers-reduced-motion is sampled once and cached in WebGLMarineEngine.js:2163 and WebGLWindEngine.js:535 rather than subscribed,WS-CAN-0012,"The reduced-motion port between the two engines is that task's scope, and both files carry an in-source note that OS-level changes re-evaluate on reload. ForecastWheel.js:155 re-reads per render, so the default scrubber is not affected."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",GridParserWorker reply ordering and worker crash recovery,WS-CAN-0008 / WS-OBJ-003,useGridWorker.js:42 onerror and :68 re-create-on-next-use verified present at HEAD; the outstanding reply-ordering test is already recorded as that task's remaining work.
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",Resize / DPR handling across the map surfaces,n/a — no gap found,"Every resize listener has a matching remove (useMarineOrchestrator.js:367/391, GPUMarineLayer.js:549/556, WindParticleOverlay.js:490/496), ForecastWheel disconnects its ResizeObserver at :321, and useMapInitialization.js:50-82 tears the DPR matchMedia re-arm down on map.once('remove'). Reported as Complete rather than as a gap."
"FRONTEND STATE + LIFECYCLE + CONTROLS (React state, contexts",LayerRegistry colour-scale key coverage / water_temp blank,WS-CAN-0060 and WS-CAN-0061 (both closed),"On the recent-closures list; verified only that LAYER_REGISTRY and the plugin registry are intact at HEAD, and deliberately not re-measured."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"__SURF_MODE__ is a persisted, default-OFF toggle labelled 'Surf Rating: ON/OFF'; with it OFF the marine grid URL omits &surf=1 and the heatmap paints the OFFSHORE significant wave height — the quantity CLAUDE.md forbids reporting as surf height — while the colour bands silently rescale (colorScales.js:285-365).","WS-CAN-0015 (item: 'one nearshore display policy'), WS-OBJ-204","WS-CAN-0015 is a seven-item readout-and-legend truth batch with 2 of 7 shipped, and 'one nearshore display policy' is exactly this question: which height the map means and whether the label says so. The register already records the remaining five as open. Reporting it again would duplicate an open task rather than add one."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"localStorage keys force_wind_fallback / force_marine_fallback persist a disabled WebGL engine for a browser across sessions (MapWebGL.js:95,96,100,101,724,725,757-759).",WS-CAN-0022,"The task title enumerates its residuals verbatim, ending '…and persisted force_*_fallback keys'. It is Not Started, so the finding is already banked with an ID."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"backendWeatherServiceClient.js:272 branches on `model === 'ICON' && hourOffset > 168` and blends client-side, so one forecast hour has two compositions.","WS-CAN-0007, WS-OBJ-206, SOTA B10","Named at the exact file and line in the register's Current Files/Symbols column, with the remaining work already specified ('serve the backend-baked estimates through the per-hour lane, or stamp identity on the blend')."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"__RAW_ARBITER_LIVE__ / __RAW_ARBITER_SHADOW__ ship a pure reducer dark alongside the live branch-heavy guard chain (WebGLMarineEngine.js:163-186, marineCommitGate.js:198).","WS-CAN-0043, WS-OBJ-402",The register records it as 'Implemented but Inactive … ships dark behind a flag while the branch-heavy chain remains the live path' and prescribes reading arb_shadow_diverge before flipping. Nothing to add beyond HID-06's census point.
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"marineMaskShelter.js:269-282 _shelterSettleGate defers the ocean-mask classifier during a pan — a visible-behaviour change behind a performance flag, default-off.","WS-CAN-0032, WS-OBJ-402","Register: 'DEFAULT-OFF by its author's explicit instruction (""MUST NOT be promoted yet"") … A human must look at a pan before promotion.' Already carried with a stop condition."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"spot_ratings.spot_confidence (:38-46) is a pure function of accuracy_flag and is_verified_peak and never reads geometry_readiness, so a degraded-geometry spot reports the same confidence as a full-geometry one.","WS-CAN-0062, WS-OBJ-207, SOTA A17","Opened by Audit 12.1 with LV-06 evidence (Kennedy Space Center degraded and Cape Canaveral full both reporting 'medium'). My HID-11 is deliberately scoped to the narrower, uncovered half: an exception that prevents the readiness input from existing at all."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,deviceTier.js:16 reads navigator.userAgent to size the particle pool — a browser-specific branch on the render path.,WS-CAN-0012,"Device tier is the first of the four marine invariants WS-CAN-0012 tracks porting to the wind engine, and the register records it as one of the two already ported (2e20122d..086ee773)."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"frontend/e2e/weather-simulation.spec.js:541-578 holds a real readPixels oracle behind test.fixme, so a test that cannot fail occupies the pixel slot.","WS-CAN-0018 / WS-CAN-0019, WS-OBJ-502, SOTA B8",Already the named reason B8 scores partial. My HID-02 is a different instance of the same class — a guard disarmed by the test runner's own presence rather than by a fixme — and the register has no task for it.
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"normalizer.py:302-318 MARINE_PARTITION_RATIO_FALLBACK=1 re-enables a branch that invents a swell partition (35% of total height, direction rotated +40 degrees) — the one 'emergency' hit in the weather path.","SOTA B12 (kill-switch and control-arm discipline, MET) plus its own estimate_basis stamp","This is the house pattern working, not a gap: default-OFF, the comment records the live measurement that killed it (a phantom 0.16 m swell FROM 20.5 deg at (28,-80)), and when re-enabled every fabricated point stamps the product estimated with an explicit estimate_basis. Recording it as a finding would penalise the exact discipline the contract praises."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"modelHorizons.js ships hardcoded bootstrap placeholder forecast axes (:16, :71, :100) that could be read as real coverage.",the paired refusal at modelProvenance.js:91,modelProvenance.js:91 reads 'REFUSES ON PLACEHOLDER DATA. MODEL_METADATA_CACHE ships bootstrap axes (LayerRegistry seeds…)' and useOpenMeteoTileUrls.js:478 records the inverse error ('cutting real hours on a guess is the same error inverted'). The placeholder and its refusal are paired correctly.
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,"routes/surf_data/alerts.py:64 defines OPEN_METEO_MARINE_URL, and alerts are a surface CLAUDE.md names explicitly as bound to the composition chain.",already repaired in-file at alerts.py:320-358,"The constant is dead (defined, never referenced again). The live evaluation calls point_resolution_service.resolve_spot_conditions and reads both `rating` and `rating_level` into surf_alert_body, with a long in-file annotation recording that this notification 'used to say ""perfect conditions!"" ON HEIGHT ALONE'. Chain-compliant; only the dead constant remains, which is a Remove-Later hygiene item, not a gap."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,frontend/src/components/_deprecated/TrendingSection.js — a deprecated component directory still in the tree.,Out of scope for this area,"Legacy-unreachable and not weather-relevant. grep -rn 'TrendingSection' frontend/src returns 3 hits, all inside the file itself; grep for '_deprecated' across frontend/src and package.json returns nothing; positive control 'ForecastWheel' returns 5 hits including its test. It is an Explore discovery feed, so it touches no weather surface. Safe to delete, worth no register row."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,backend/scripts/migrations_archive/** carries dozens of hard-coded spot coordinates and hand-tuned offshore offsets that contradict the live shore-normal asset.,Out of scope — Legacy-unreachable,"grep -rn 'migrations_archive' backend --include=*.py matches only backend/tests/test_wind_unit_constant_parity.py:160, and that line EXCLUDES the directory from a scan. Positive control: grep -rn 'from scripts' backend/routes returns two real route-level script imports, so the technique can prove a script IS reachable. Nothing imports these."
UNKNOWN-UNKNOWN DISCOVERY (audit spec §3.4/§13) — repo-wide ,backend/routes/surf_data/conditions.py has nine 200-with-error return sites and a ~52-59 s median.,"WS-CAN-0009 and WS-CAN-0064, WS-OBJ-103 / WS-OBJ-302","Both are open with the register explicitly instructing that they be scoped together ('same file — one visit to conditions.py should close both'). My HID-05 concerns the confusingly-similar backend/routes/surf_spots/conditions.py, which is a different file and is in no register row."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,A live credential is committed in BRAIN_RULES.md and is reachable from git history,WS-CAN-0021 / WS-OBJ-703,"CONFIRMED STILL PRESENT AT HEAD, exactly as the register states. BRAIN_RULES.md:200 carries a Qdrant cluster endpoint plus a JWT-shaped API key; the file is tracked. The register's 'Verification Failed / Repair' state and its 'History retains them regardless of any future edit' note are both accurate. Note for accuracy: the row says 'the two committed credentials'; at HEAD ONE value survives in that file — :201's LangSmith reference correctly stores the key in episodic memory, not in-file. Do not re-report as new. (The rotation's file LIST is incomplete — see SEC-G07.)"
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,A truncated or malformed upstream GRIB can be registered and served as authoritative because the byte-range fetch does not validate length,WS-CAN-0017 / WS-OBJ-304 / SOTA B14,"REAL and confirmed at HEAD, but verbatim the register's own remaining work. _fetch_message_bytes at noaa_gfs_wind_fetcher.py:97, noaa_gfs_wave_fetcher.py:248 and noaa_gfs_pressure_fetcher.py:95 accept a bare 200 — which means the upstream ignored the Range header and returned the whole object — and never compare len(r.content) to end-start+1 nor read Content-Range. WS-CAN-0017's Remaining Work says 'start with byte-count/Range validation (one site, three copies)'; my independent count is three copies. Nothing to add."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,A crashed or malformed-input decode worker could silently freeze a lane or zero-fill truncated data,WS-CAN-0008 / WS-OBJ-301,"The guards the register credits are present at HEAD. GridParserWorker.js has explicit truncation returns at :70 and :142 (offset + rows*cols > data.length -> return null) and a top-level try/catch at :729-747 posting {id, result, error}; useGridWorker.js:42 sets onerror and :68 re-creates on next use. The register's own remaining item is a reply-ordering test, which is a test gap, not a security one."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,Persisted client-side flags can silently degrade the weather data path across sessions,WS-CAN-0022 / WS-OBJ-301,WS-CAN-0022's fourth residual is named as 'persisted force_*_fallback keys'. My localStorage census found force_marine_fallback and force_wind_fallback among 44 keys — exactly that set. Covered. The distinct key __BACKEND_URL__ is NOT in that residual list and is raised separately as SEC-G02.
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,Weather routes return 200 with an error body and leak raw str(e) to clients,WS-CAN-0009 / WS-OBJ-103,"The register scopes this to backend/routes/surf_data/conditions.py; I counted 8 str(e) occurrences there at HEAD, consistent with its 'nine 200-with-error sites, four returning raw str(e)'. Only ONE site of this class exists outside that file (weather.py:755), and it is folded into SEC-G01 rather than raised as its own finding."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,The client telemetry payload reports a fabricated healthy frame rate on the only client-to-server transport,"WS-CAN-0063 (CLOSED, 69ac3ddb) / WS-OBJ-506","Verified closed at HEAD by reading the server half: backend/routes/weather.py:723-729 now prints 'unmeasured' for None and preserves a measured 0, with the two-site history documented inline. Not re-reported. Note the closure fixed field HONESTY on this endpoint, not its EXPOSURE — which is why SEC-G01 is a separate concern on the same lines."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,"/api/conditions/batch is unauthenticated and takes about a minute, making it an amplification target",WS-CAN-0064 / WS-OBJ-302,"The ROUTE and its latency are fully covered — two independent readings, p50 52.2 s and 58.7 s, 100% of sampled calls over 10 s. I did not re-measure and do not re-report the latency. Only the missing admission control is carried forward, inside SEC-G08."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,Production users receive an artifact that was never tested,WS-CAN-0039 / WS-OBJ-104 / SOTA A18,"The commit-identity half is covered and owner-gated. I confirmed the dev deploy is at BUILD_VERSION 791fdf78 = HEAD exactly, which I used as the control that makes SEC-G03 and SEC-G04 present-tense rather than artifacts of the production freeze. The dependency-resolution half of 'the tested artifact' is not reachable by A18 and is raised as SEC-G04."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,433 ungated window.__RAW_*/__MARINE_* globals expose behaviour switches in production,SOTA B12 (MET) and the 'What the platform is already state of the art at' section,"KILLED BY MY OWN ATTEMPT. The contract explicitly records 'Kill-switch-and-control-arm discipline — every risky change ships with a rollback and a measurable control. This is genuinely better than industry norm.' Window flags are that mechanism. Read-only diagnostics and switches that only degrade are a deliberate documented design, not a defect. Only the ONE override that redirects authenticated traffic to another origin (__BACKEND_URL__) is carved out as SEC-G02."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,The TruthOverlay diagnostics HUD is reachable by production users,"design — TruthOverlay.js:19-29 isDiagHudEnabled, shipped 2026-07-19","KILLED. Production is OFF by default; ?diag=1 and localStorage __RAW_DIAG__='1' are a documented opt-in; '0' suppresses everywhere including the pixel-probe scripts; any storage exception returns false, i.e. fails CLOSED. The in-file header records that the component was previously mounted unconditionally and that this gate was the fix. MarineAnimTuner.js carries the same contract. Not applicable."
SECURITY + DATA INTEGRITY + SUPPLY CHAIN (audit spec §21) — ,The service worker is a cache-poisoning surface for weather data,refuted by inspection — no register row needed,"KILLED THREE WAYS. (1) The postMessage CACHE_SPOTS handler reconstructs the URL hardcoded same-origin at service-worker.js:344 and never uses the payload as a URL. (2) Every cache.put/match is keyed on the full request, so a cross-origin entry cannot satisfy a same-origin lookup. (3) Decisively, weather never enters the SW at all — :91-103 returns early for open-meteo.com, rainviewer, tiles., tile., maplibre, .om, the om protocol, /marine and /weather. The substring host tests there are the same defect SHAPE as WS-CAN-0059 but are not exploitable, so no finding is raised."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ","WeatherTelemetry's FPS RAF loop runs from module import on every screen and has no cancelAnimationFrame anywhere in the 551-LOC file (verified at HEAD: requestAnimationFrame at :397 and :399, armed from the constructor at :73, module-scope singleton at :549).",WS-CAN-0022 / WS-OBJ-301 / SOTA A11,"Named verbatim, with the same line numbers, as the register's Current Files entry. My independent RAF census (47 sites, 11 owners) confirms it is the ONLY production loop without a cancel path — the second candidate, useRasterTransactions.js:69,99,130, is in a file with zero importers. The register's conclusion is right; only its runtime evidence is not (CG-FE-RENDER-01)."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ","The two Canvas2D fallback renderers capture the CanvasAnimationCoordinator singleton in effects with deps [mapInstance] only, so after disposeAnimationCoordinator() they never re-register and the fallback canvas freezes permanently.","WS-CAN-0022 (title: ""...userTier zombie shutdown..."")","Still current at HEAD — GPUMarineLayer.js:374,546,558 and WindParticleOverlay.js:255,487,498 vs MapWebGL.js:692 disposeAnimationCoordinator() inside an effect keyed [mapInstance, userTier]. This is 11.0's D-02 and it is explicitly inside WS-CAN-0022's residual list, so it needs no new ID."
"FRONTEND RENDERING SURFACES — MapLibre custom layers, WebGL ",The persisted localStorage keys force_marine_fallback / force_wind_fallback are read in useState initialisers (MapWebGL.js:95-96) and therefore pin a browser to the Canvas2D renderers across reloads.,"WS-CAN-0022 (""...persisted force_*_fallback keys"")",Named in the task title. Confirmed unchanged at HEAD.
