Dimension,Config,Model,Layer,Geography,LeadTime,Measured_Pixel_Delta_Pct,Measured_Frame_Variance_Pct,Paints,Method,Covered_By_Objective,Covered_By_Task,Status,Evidence
model x layer,firefox-desktop,EURO,Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),68.281,99.837,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Swell,"NW Atlantic z5 [-72,30]",hour 0 (default),68.27,99.798,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Swell 2,"NW Atlantic z5 [-72,30]",hour 0 (default),68.253,99.7,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Wind Waves,"NW Atlantic z5 [-72,30]",hour 0 (default),68.218,99.599,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Precip,"NW Atlantic z5 [-72,30]",hour 0 (default),23.547,99.773,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Radar,"NW Atlantic z5 [-72,30]",hour 0 (default),5.296,99.915,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Satellite,"NW Atlantic z5 [-72,30]",hour 0 (default),78.262,98.549,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Fog,"NW Atlantic z5 [-72,30]",hour 0 (default),4.298,99.94,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Pressure,"NW Atlantic z5 [-72,30]",hour 0 (default),60.533,68.803,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Air Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),75.326,88.764,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,firefox-desktop,EURO,Water Temp,"NW Atlantic z5 [-72,30]",hour 0 (default),69.32,99.974,YES,"differential pixel oracle: screenshot(layer off) vs screenshot(layer on), pngPixels.diffFraction thr=24 step=7",WS-OBJ-101,"WS-CAN-0060 (class guard, shipped)",COVERED - measured positive,evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,Cocoa Beach FL,hour 0 (default),,93.278,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=8 center=[-80.6, 28.35]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,New York coast,hour 0 (default),,96.63,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-73.5, 40.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,Portugal,hour 0 (default),,92.735,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.4, 38.7]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,Morocco,hour 0 (default),,94.09,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-9.8, 31.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,El Salvador,hour 0 (default),,97.052,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=7 center=[-89.3, 13.4]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,Open Pacific,hour 0 (default),,98.365,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-140, 10]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,Antimeridian,hour 0 (default),,94.833,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=5 center=[179.6, -17.6]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
geography,firefox-desktop,GFS (default at probe time),Wind,High latitude N,hour 0 (default),,95.047,YES,"varianceFraction on a settled frame; styleLoaded=True layers=143 sources=24 zoom=4 center=[-20, 68]",WS-OBJ-102,WS-CAN-0028 (canonical fields - still NOT run),"COVERED - measured positive (projection reachability only, NOT value correctness)",evidence/browser-device-tests/coverage-firefox-desktop.json
model x layer,ALL,ICON,ALL 12,NW Atlantic,hour 0,,,NOT MEASURED,ICON was not exercised by this probe: only GFS and EURO were selected. ICON is a declared model in MapWeatherControls.js:150.,WS-OBJ-101,NONE,GAP - ICON never exercised by any browser probe in the program,-
time,ALL,GFS/EURO,ALL 12,NW Atlantic,horizon / rapid scrub / model-run transition,,,NOT MEASURED,"The probe read hour 0 only. Timeline playback, rapid forward/reverse scrub, model-run transition, stale response and missing frame were not exercised.",WS-OBJ-206,WS-CAN-0019 (canvas-hash on hour change - test.fixme),GAP - already tracked; the oracle exists and cannot fail,-
runtime,ALL,-,-,-,cold vs warm vs service-worker cache,,,NOT MEASURED,"Each probe ran one cold context. Warm cache, SW cache, offline recovery, slow network and remount were not varied.",WS-OBJ-103,WS-CAN-0036,GAP - already tracked,-
browser,webkit / Desktop Safari,-,-,-,-,,,NOT MEASURED BY THIS PROBE,"No WebKit binary installed for Playwright 1.60 locally, and installing one is a dependency change this audit is forbidden from making. BUT the CI e2e lane DOES run Desktop Safari and Mobile Safari on every push - see LV12-2-05.",WS-OBJ-705,NONE,COVERED IN CI - not a gap; see DO_NOT_CREATE_DUPLICATE_WORK,evidence/browser-device-tests/LV12-2-05...md
geography,ALL,-,Wind,bay or cove / island chain / complex coastline,hour 0,,,NOT MEASURED,"The 8 probed locations cover FL, NY, Portugal, Morocco, El Salvador, open Pacific, antimeridian and 68 N. Bay/cove, island chain and complex coastline were not probed.",WS-OBJ-102,WS-CAN-0028,GAP - low priority; the projection authority is already certified by arithmetic,-
