Area,surface_id,type,files_symbols,reachability,entry_point,consumer,objective_id,task_id,test_coverage,runtime_evidence,observability,recovery,status
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-point-spot-reference,processing,backend/scripts/verify_point_spot_reference.py,"Active-reachable, scheduled, REPORTED-NOT-PAGING (no --fail-on-mismatch)",.github/workflows/forecast-calibration-census.yml step 4,e1_acceptance.txt artifact,WS-OBJ-602,WS-CAN-0024,NONE located,workflow comment states promotion to --fail-on-mismatch awaits a first PASS,voids itself by name when keys are absent,n/a,Missing Test
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-sim-parity,processing,backend/scripts/sim_health_probe.py; backend/tests/test_rating_composition_parity.py; services/weather_pipeline/sim_rating.py:calculate_surf_rating,"Active-reachable, scheduled 4x/day",.github/workflows/sim-parity-monitor.yml,Actions exit code,WS-OBJ-201,WS-CAN-0023,backend/tests/test_rating_composition_parity.py,WS-CAN-0023 Verified Current,names the diverging field,structural + data guard pair,Complete
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-copernicus-validator,processing,backend/services/weather_pipeline/copernicus_validator.py:27 validate_copernicus_product_helper,"Active-reachable, Single-model-only (returns valid immediately unless model==EURO and domain==marine)",ingestion/normalization path for EURO marine products,product acceptance decision,WS-OBJ-002,NONE,backend/tests/test_weather_copernicus.py,NONE measured this pass,"returns (valid, reason) strings",rejects the product,Complete
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-owner-anchors,processing,backend/tests/test_owner_calibration_anchors.py; backend/scripts/calibration_solver.py,Test-only; runs in CI,pytest,CI,WS-OBJ-006,NONE,is itself the test,anchors green; project memory records the harness as blind to any purely DIRECTIONAL change (a 47% height cut moves all five by 0.0),assertion messages,n/a,Complete
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-lattice-temporal-interp,data,"backend/services/weather_pipeline/lattice_fill.py:83 interpolate_between, :154 estimate_basis type 'native_time_interpolation'",Active-reachable — fills 12-16 gap slots per global tier in the ECMWF 6-hourly band,grid_series / scrubber lattice assembly,served frames on the timeline scrubber,NONE for accuracy (WS-OBJ-202 covers provenance),WS-CAN-0034 (provenance class) — nothing for accuracy,"backend/tests/test_lattice_inband_fill.py — 10 tests (grep -c '^def test'), all synthetic; no held-out native frame",NONE — no comparison of an interpolated slot to a real frame exists,estimate_basis is stamped and disclosed,refuses to bridge holes > 6 h,Missing Test
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-bilinear-spatial-interp,data,"backend/services/weather_pipeline/sampler.py:260 bilinear_scalar, :318 bilinear, :369 bilinear_ocean_masked; point_resolution.py:405-410","Active-reachable, the default point path",resolve_point / sampler,every point response and every spot rating,"WS-OBJ-102 (projection), not accuracy",WS-CAN-0028 (orientation only),"test_point_coarse_gap.py, test_weather_normalizer.py, test_weather_services.py — fixtures only",interpolation_method stamped on responses,interpolation_method field,masked variant near coasts,Missing Test
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-ocean-mask-nan,data,"backend/services/weather_pipeline/ocean_access.py:82,114,162 np.where(np.isnan(e), 0.0, e)","Active-reachable in the spot-placement QA path (placement_verdict, swell_exposure_fraction)",spot discovery / placement audit scripts,ON_OCEAN / INLAND / NO_OCEAN verdicts,NONE,NONE,backend/tests/test_ocean_access.py,NONE measured this pass,verdict + elev_m in the output dict,"returns (None, None) for unknown rather than guessing",Missing Contract
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-missing-value-convention,data,"backend/services/weather_pipeline/normalizer.py, sampler.py — GridVector.is_valid is the only mechanism","Active-reachable, implicit",normalization of every upstream product,every downstream sampler and rating,WS-OBJ-002,NONE,indirect only — no test drives a real upstream missing-value payload,grep -rn 'isnan|math.nan|np.nan|9999|_FillValue|missing_value' normalizer.py sampler.py -> ZERO hits; positive control grep -c 'is_valid' -> 7 and 4,is_valid on each cell,invalid cells excluded downstream,Missing Contract
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-swell-partitions,data,"capabilities rows GFS/EURO/ICON x marine x {swell_1,swell_2,wind_waves} (9 of 24); SURF_PARTITIONS default '0' at point_resolution.py:120 and spot_conditions.py:138",Active-reachable for RENDERING; Flag-gated OFF for the rating,om:// raster + /api/weather/grid-series,"3 of the 12 LayerRegistry layers, painted to users","WS-OBJ-001 (paints), NONE for value correctness","WS-CAN-0052 (flip into the rating), WS-CAN-0060 (colour scale)","test_partition_* suite — composition/energy-share logic, no observation",LIVE /api/weather/capabilities 2026-08-13: 9 rows present and supports_grid true,served with provenance,n/a,Missing Evidence
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-water-temp-layer,rendering,frontend/src/components/map/LayerRegistry.js:107 id:'water_temp'; also temperature at :91,Active-reachable frontend-only — grep of backend capabilities.py/schemas.py for 'water_temp' returns ZERO (positive control: 8 frontend files hit),om:// protocol raster on the client,user-selectable painted layer + infobox readout,WS-OBJ-001/101 (paints),"WS-CAN-0061 (closed — ordering), NONE for value","layerColorScaleCoverage.test.js, LayerAccessResolver.layerKeys.test.js — key/scale coverage only",absent from the 24-row capability payload,"no provenance row, no resolution, no run_time",n/a,Missing Objective
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-weather-layers,data,"capabilities rows: precipitation, pressure (all 3 models), fog/radar/satellite (GFS)","Active-reachable, painted",/api/weather/grid-series + om:// tiles,"rain, radar, satellite, pressure, fog layers in LayerRegistry",WS-OBJ-001,"WS-CAN-0015 (rain unit LABEL, not value)","test_precipitation.py, test_pressure.py — pipeline fixtures",LIVE capabilities 2026-08-13,served with provenance,n/a,Missing Evidence
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-lead-horizon,data,"forecast_skill.py:34 LEADS_H=(24,48,72) vs capabilities max_forecast_hours 384 (GFS) / 336 (EURO, ICON)",Active-reachable served horizon; validation reaches 72 h,scrubber / forecast wheel out to the served horizon,every long-lead forecast a user reads,WS-OBJ-005,WS-CAN-0054 (arms the SAME three leads),NONE beyond +72 h,LIVE capabilities: GFS marine max_forecast_hours 384,lead is disclosed; its skill is not,n/a,Missing Objective
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-geography-of-truth,data,buoy_calibration.fetch_buoy_spots_via_rest -> spots with noaa_buoy_id; NDBC realtime2 only,"Active-reachable, geographically Single-region (North-American waters)",the calibration loop,every accuracy statement the program makes,WS-OBJ-005 / WS-OBJ-501,"WS-CAN-0058 (input coverage, not validation coverage)",NONE for geographic representativeness,"LIVE report: 60 buoys, prefix histogram {41:12, 42:2, 44:12, 46:23, 51:7, 52:1, 62:1, LJ:1, SS:1}; only non-Americas station is 62107 Constantine Bay (UK)",per-spot rows expose the buoy ids,n/a,Missing Evidence
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-residual-archive,data,"buoy_calibration.py:608 stratified_height_bias, :643 build_archive_summary; buoy_residual_retention.maybe_roll_up_history","Active-reachable, kill BUOY_RESIDUAL_ARCHIVE=0",run_buoy_calibration:697,forecast_accuracy_monitor.evaluate_residual_history (RED if 0 rows in 48 h),WS-OBJ-005,WS-CAN-0026,backend/tests/test_buoy_calibration.py,"LIVE archive block: n_entries 11725, n_buoys 60, 2026-07-28 -> 2026-08-13; stratified bias +0.200 m in the 0-0.5 m band, -0.316 m above 2.5 m",per-band n / bias / MAE keyed on the OBSERVED height,"append-only monthly segments, never pruned",Complete
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-science-registry-ratchet,infrastructure,"backend/services/weather_pipeline/science_registry.py (REFRACTION_KR, H110_OVER_HS, gamma entries with source/method/sample/published_range/status)","Active-reachable, enforced in CI",pytest test_science_registry.py / test_science_registry_coverage.py,constant provenance discipline,WS-OBJ-002,WS-CAN-0042,"test_science_registry.py, test_science_registry_coverage.py",registry debt count 29 per WS-CAN-0042 row,every constant states source/method/sample,ratchet blocks new bare literals,Complete
SCIENTIFIC COVERAGE COMPLETENESS (audit spec §22) — what the,SUR-SCI-era5-campaign,data,"backend/scripts/era5_deepen_climatology.py, build_spot_size_climatology.py","Active-reachable campaign, replaces each spot's sample population one spot at a time",manual/campaign dispatch,spot_size_climatology -> RATING_LOCAL_SIZE reference -> every rating,NONE,WS-CAN-0042,NONE located for the campaign itself,census workflow warns a backfilled spot STEPS then FREEZES while an un-backfilled one keeps drifting,drift.json shows which spots moved,census gate,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-posthog-replay,infrastructure,"frontend/public/index.html:149-227, posthog.init() at :210; session_recording at :217; captureCanvas.recordCanvas:false at :222-224","Active-reachable (production). disable_session_recording is bound to __isLocalDev only, so recording is ON everywhere except localhost/127.0.0.1/[::1].","inline <script> in the SPA shell, runs before React mounts","PostHog cloud (us.i.posthog.com) — third party, off-box, owner-viewable without a browser console",NONE,NONE,NONE,"git log -S 'posthog.init' -- frontend/public/index.html -> b8aa692f (initial commit); git show 3bd38a83:frontend/public/index.html | grep -c posthog -> 9, i.e. present in the PINNED production build","DOM/rrweb session replay of the whole app EXCEPT canvas; capturePerformance:false; enable_recording_console_log not set client-side (grep 0, control: session_recording found at :217) so console capture would have to be enabled project-side, unverifiable from the repo",n/a,Missing Objective
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-truthoverlay-uplink,infrastructure,"frontend/src/components/map/TruthOverlay.js:108-158, fetch at :147; payload built :120-145","Active-reachable (production) — the effect sits ABOVE the render gate at :325-327 deliberately, so it runs for prod users whose HUD never mounts","useEffect on [truthIssues, activeModel, activeLayers, timeOffsetHours]",POST /api/weather/client-diagnostics (backend/routes/weather.py:715-756),WS-OBJ-504,WS-CAN-0020 / WS-CAN-0063,"frontend/src/__tests__/truthOverlayGate.test.js; frontend/src/components/map/TruthOverlay.fpsHonesty.test.js (SOURCE guards, no render harness); backend/tests/test_measure_or_refuse_last_two_surfaces.py:79",Re-verified at HEAD: git grep 'client-diagnostics' -- frontend/src returns exactly one fetch (TruthOverlay.js:147). Matches WS-CAN-0020's claim for FIRST-PARTY transports only.,"Fires ONLY on truthIssues. Throttled 60s per `${type}:${layerId}`. Carries model, layer(activeLayers[0] only), timeOffset, fps (?? null since WS-CAN-0063), memory, correlationId, details.build",fetch().catch(() => {}) — silent; a failed uplink is indistinguishable from no incident,Missing Evidence
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-raw-gpu-literals,rendering,"frontend/src/components/map/WebGLMarineEngine.js:101-114 — activeRafCount:1 (:106), shaderCompileCount:6 (:109), reactRerenderCounter:0 (:112)","Active-reachable via window.__RAW_GPU__, but WRITE-ONCE: zero mutation sites repo-wide (src and committed build bundle)","WebGLMarineEngine constructor, guarded by !window.__RAW_GPU__","dev console; the AUDIT PROGRAM (LV-04 in 12.1, hypothesis kills in two 2026-08 research docs). No in-repo src consumer at all.","WS-OBJ-301 (consumes it as closure evidence), WS-OBJ-506 (contract owner)",NONE,NONE for these three. Control: sibling textureCount has frontend/src/components/map/textureAccounting.test.js,"Mutation census over 1213 frontend JS/TS files: 8 of 11 __RAW_GPU__ fields have 2-10 mutation sites (textureCount 8, gpuMemoryEstimate 8, drawCallsPerFrame 10, frameTimeHistogram 5 indexed at :2310-2314, droppedFrameCounter :2317, framebufferCount WebGLMarineEngineInit.js:183, advFboStatus :2252, textureUploadCount WebGLMarineTextureState.js:56,79); these three have ZERO","Reports 1 RAF / 6 shaders / 0 re-renders unconditionally, whether the true values are 0 or 50",n/a,Missing Task
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-console-interceptors,processing,frontend/src/components/map/WeatherTelemetry.js:78-184 initConsoleInterceptors; 21 hard-coded prefixes at :81-103; dead validation_mismatch branch at :155-160,Active-reachable — monkey-patches console.warn/error/log globally as a module-import side effect of the WeatherTelemetry singleton,WeatherTelemetryEngine constructor :72-75,the 500-entry in-browser ring (never leaves the device),NONE,NONE,"frontend/src/tests/telemetry-ring-quota.test.js covers eviction/ringHealth, NOT prefix coverage","prefixcov.py over 832 non-test source files: 232 console.error/warn sites with a bracket prefix, 84 distinct prefixes; 104 sites / 24 prefixes captured (positive control), 128 sites / 60 prefixes NOT captured = 55.2%. Two of the 21 configured prefixes ([WebGLOverlay], [WebGLMarine-Validate]) have ZERO emitters in frontend/src","Uncaptured include [GridWorker] (useGridWorker.js:44, the R11-07 worker crash), [ErrorBoundary] (routing/ErrorBoundary.js:30), [apiClient] (lib/apiClient.js:93), [MapLibre Error] (useMapInitialization.js:90), [WEATHER_TRUTH] (weatherTruthTracker.js:229), [Orchestrator Fatal Exception], [Marine] x14, [Governor] x10",n/a,Missing Task
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-weathertelemetry-ring,processing,frontend/src/components/map/WeatherTelemetry.js:10-549; _evictOne :205-235; ringHealth :244-263; singleton :549-550,Active-reachable — constructed at module import on every screen; window.__WEATHER_TELEMETRY__ published unconditionally,module import,TruthOverlay Events tab (dev-HUD only); admin/advanced/WeatherDiagnostics.tsx (the ADMIN's own browser),WS-OBJ-504,"WS-CAN-0003 (build stamping), WS-CAN-0020",frontend/src/tests/telemetry-ring-quota.test.js,"22 tracker methods; 19 have real production call sites, 7 have zero external references (trackRenderFail, trackGpuCompile, trackRenderCall, trackRenderStart, trackRenderEnd, trackModelWarning, trackModelError). render_failed is one of six types archiveFailure treats as a failure and nothing emits it via its tracker",Proportional-fair eviction + monotonic per-type counts + saturation flag — genuinely well designed. Zero egress.,n/a,Missing Evidence
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-weathertelemetry-fps-raf,state-lifecycle,frontend/src/components/map/WeatherTelemetry.js:380-400 initFpsMonitor; requestAnimationFrame at :397 and :399; gpuStats seeded fps:60 at :42,"Active-reachable — started in the constructor, i.e. runs on every screen forever",WeatherTelemetryEngine constructor :73,gpuStats.fps -> TruthOverlay GPU tab and the uplink payload,WS-OBJ-301,WS-CAN-0022,NONE for the cancel path,"ZERO cancelAnimationFrame anywhere in the file at HEAD (grep). Register cites LV-04 activeRafCount=1 as live confirmation — but see SUR-OBS-raw-gpu-literals, that field is a constant, so LV-04's runtime evidence is void even though the source-level defect at :397/:399 is real and independently verified","fps measured after the first 1 s window; before that (and if RAF never fires, e.g. a tab hidden from load) gpuStats.fps is the seeded literal 60",none — no cancel path,Missing Test
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-global-error-handlers,infrastructure,"frontend/src/index.js:165-207 (window.onerror, 'error' capture listener, 'unhandledrejection' listener)",Active-reachable (production),module scope of index.js,"NOBODY — these are pure suppressors (ResizeObserver, AbortError/DOMException) that delegate to the original handler and report nothing",WS-OBJ-504,WS-CAN-0020,NONE,"Read at HEAD: no counter, no telemetry emit, no fetch in any of the three handlers",none — no uncaught exception or unhandled rejection is counted anywhere,suppression only,Missing Observability
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-error-boundaries,user-facing,frontend/src/components/routing/ErrorBoundary.js:29-57 componentDidCatch; frontend/src/components/map/MapErrorBoundary.js:18,Active-reachable (production),React componentDidCatch,console.error('[ErrorBoundary] …') only,WS-OBJ-504,WS-CAN-0020,NONE,"[ErrorBoundary] is NOT in the 21 intercepted prefixes, so a React crash does not even reach the in-browser ring",none off-device,"ChunkLoadError auto-reloads once via sessionStorage guard, then shows a crash screen — good recovery, zero reporting",Missing Observability
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-worker-crash,state-lifecycle,frontend/src/components/map/useGridWorker.js:41-53 onerror/onmessageerror; creation-failure warn at :55,Active-reachable,Worker 'error' event,console.error('[GridWorker] …'),WS-OBJ-003 (B11),"NONE (R11-07 repair, not a canonical id)",NONE found,[GridWorker] is not an intercepted prefix — the crash of the pressure/grid parse lane produces no telemetry event and no uplink,console only,"GOOD — rejects all pending promises, terminates, nulls the instance so the next parse re-creates it (R11-07)",Missing Observability
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-admin-weather-diagnostics,user-facing,"frontend/src/admin/advanced/WeatherDiagnostics.tsx:13,42,74 (getDiagnosticReport at 1 Hz); routed from frontend/src/admin/AdminApp.tsx:25,173","Admin-gated, Active-reachable",AdminApp route,the admin viewing it,NONE,NONE,NONE,"WeatherTelemetry.getDiagnosticReport() reads the IN-BROWSER singleton of the admin's own tab (git grep getDiagnosticReport -> only this file + the definition). It presents tileStats, gpuStats, recentFailures, ringHealth as if they were fleet data",Its only genuinely server-sourced panel is /api/health/data at :27. Everything else is the admin's self-portrait,n/a,Conflicting
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-system-alerts,infrastructure,"backend/routes/admin/system.py:426-498 (list/acknowledge/resolve); producer create_system_alert at :553-571; unacknowledged_alerts count at :259-265,:299",Admin-gated endpoints are reachable; the PRODUCER is unreachable — create_system_alert has zero call sites,GET /admin/system/alerts,"frontend/src/components/admin/AdminSystemDashboard.js:61,82,94",NONE,NONE,NONE,"git grep 'create_system_alert|SystemAlert(' -- backend/ -> definition at system.py:553 and one constructor inside it; ZERO callers. Positive control: sibling model ScheduledJobStatus, imported on the same line of models/__init__.py:101, has real writers at scheduler/base.py:34,37,76",The alerts list and unacknowledged_alerts are structurally always empty — the identical 'table with no writers' shape as R11-08's SystemHealthMetric,n/a,Missing Task
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-client-diagnostics-sink,data,backend/routes/weather.py:715-756 post_client_diagnostics; append to backend/diagnostics.log at :740-748; schema backend/services/weather_pipeline/schemas.py:328-337,"Active-reachable, UNAUTHENTICATED and un-rate-limited",POST /api/weather/client-diagnostics,python logger (stdout -> Render log stream) + append-only file,WS-OBJ-504,"WS-CAN-0020 (transport), WS-CAN-0063 (fps honesty, closed)",backend/tests/test_weather_api.py:564-578; backend/tests/test_measure_or_refuse_last_two_surfaces.py:79,"No log rotation anywhere in backend (grep RotatingFileHandler|logrotate|TimedRotating -> 0; control: logging.basicConfig -> 10+ hits). No disk/mountPath in render.yaml (file exists, 2788 bytes) => ephemeral container FS. No rate limiter: backend/routes/weather.py has 2 Depends total (get_db, get_current_admin) and server.py has 3 add_middleware (GZip, CORS, RequestTelemetry), none a limiter, while backend/core/rate_limiter.py exists",fps prints 'unmeasured' for None and preserves a measured 0 (WS-CAN-0063 server half) — that part is correct,500 on write failure; the client swallows it,Missing Task
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-diagnostics-log-read,user-facing,backend/routes/weather.py:758-775 get_diagnostics_log,Admin-gated (get_current_admin),GET /api/weather/diagnostics-log,NONE in the frontend — git grep 'diagnostics-log' -- frontend/src returns 0 (positive control: 'health/data' returns 4 hits in WeatherDiagnostics.tsx),NONE,NONE,backend/tests/test_weather_pipeline_auth.py:24-26 (auth only),"Single f.read() of the whole file, no cap, no tail, no paging","the only read path for the incident log, and nothing in the product calls it",returns {status:'error'} when the file is missing,Missing Owner
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-request-telemetry,infrastructure,backend/services/request_telemetry.py:1-171; wired at backend/server.py:498-499,Active-reachable; kill switch REQUEST_TELEMETRY=0,"pure-ASGI middleware, outermost",/api/health.request_telemetry; /admin/system/api-metrics; /admin/system/health error rate,WS-OBJ-506,WS-CAN-0010,backend/tests/test_request_telemetry.py; backend/tests/test_request_telemetry_percentiles.py,"Bounded: <=200 (method,template) keys, overflow folds to (other); log-scale buckets, counts only; percentiles are bucket UPPER bounds capped at max_ms with explicit pNN_ge_ms overflow markers","Per-route n, err_5xx, avg/p50/p90/p99/max, cumulative since started_at, with a note stating what the numbers are NOT",never fatal to /api/health (try/except at health.py:183-187),Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-backend-health,infrastructure,backend/routes/health.py:71-287,"Active-reachable, PUBLIC, unauthenticated",GET /api/health,"uptime_probe.py, keep-warm.yml, humans",WS-OBJ-505,WS-CAN-0025,backend/tests/test_health_peak_memory.py,"Embeds RENDER_GIT_COMMIT SHA, python major.minor, deps_digest, cgroup-measured memory limit + limit_source ('cgroup' vs 'default_assumed'), ru_maxrss peak, scheduler job list with next_run, key-table row counts, request_telemetry",the richest off-box surface in the system,degrades to status 'degraded'/'unhealthy' rather than 500,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-backend-health-data,data,backend/routes/health.py:299-317 -> services/weather_pipeline/data_health.compute_data_health,"Active-reachable, public",GET /api/health/data,.github/workflows/data-health-monitor.yml; admin WeatherDiagnostics.tsx:27,WS-OBJ-505,WS-CAN-0025,backend/tests/test_data_health.py,"Freshness computed ON READ from the served manifest (no DB, no fetch), so a dead ingest cron is caught even though the cron never publishes health.json. 503 on critical","per-lane verdict/age_h/horizon_h, manifest_written_by writer attribution, alerts[]",never raises; returns 503 with the report body,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-admin-system-health,user-facing,backend/routes/admin/system.py:165-300; measured_error_rate_percent at :143-162,Admin-gated,GET /admin/system/health,frontend/src/components/admin/AdminSystemDashboard.js:47,WS-OBJ-506,WS-CAN-0010 (closed 172f66aa),4 tests cited in the 12.1 register for the error-rate repair; mutation to the 0.5 placeholder fails them,"error_rate None => api.status 'not_instrumented' at :296-297, not collapsed into healthy. Memory clamp deliberately removed so >100% can surface a wrong limit","CPU, memory (cgroup-measured), storage, DB latency, api error rate or refusal",storage metrics failure degrades to zeros with a logged error,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-weather-status,data,backend/routes/weather.py:650-700,Active-reachable,GET /api/weather/status,none in-product,WS-OBJ-506,WS-CAN-0010 (closed),backend/tests/test_measure_or_refuse_last_two_surfaces.py,"provider_status 'not_instrumented', stale_products_count None, last_errors None, plus a note pointing at /api/health and /api/health/data","measured fields (file count, disk, RSS, thread count) stay measured; the rest refuse",n/a,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-uptime-probe,infrastructure,"backend/scripts/uptime_probe.py (231 LOC, stdlib only); grade_health :89-146; grade_calibration :149-168; --ping-url dead-man's switch :186-189,:218-226",Implemented but Inactive — scheduled NOWHERE,CLI,exit code + optional heartbeat ping,WS-OBJ-505,WS-CAN-0025,"backend/tests/test_uptime_probe.py (13 tests, estate lane)","grep -rn uptime_probe .github/ --include=*.yml -> one COMMENT in ci.yml:926, zero schedule entries (control: 9 workflows carry schedule:, and forecast_accuracy_monitor.py IS invoked from its workflow)",grades the BODY not the status code; three-way OK/RED/REFUSED; timeouts derived from measured p99 30.4 s (n=113),exit 3 REFUSED rather than green-when-blind,Missing Owner
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-data-health-monitor,infrastructure,.github/workflows/data-health-monitor.yml; backend/scripts/product_run_age_census.py,"Active-reachable, cron */30",GitHub Actions schedule (default branch dev only),GitHub run status,WS-OBJ-505,WS-CAN-0025,n/a (workflow),"Pages on status=critical, HTTP 503, any lane older than HEALTH_PAGE_HOURS (default 7 h — the 2026-07-13 deaf-spot fix), and the per-tier regional run-age census","prints lane verdicts, ages, horizons, manifest_written_by attribution",n/a,Complete
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-accuracy-monitor,infrastructure,.github/workflows/forecast-accuracy-monitor.yml; backend/scripts/forecast_accuracy_monitor.py,"Active-reachable, cron 5 1,7,13,19",GitHub Actions schedule,GitHub run status,WS-OBJ-005 / WS-OBJ-501,"WS-CAN-0026, WS-CAN-0054",n/a (workflow),"RED on MAE>0.40 m, report age>8 h, ledger absent/evicting/scored=0, retention stall, and losing to persistence on BOTH MAE and win rate; REFUSE (exit 3) when unreachable or n<30; kill switch ACCURACY_PAIRED_GATE=0; self-expiring grace ACCURACY_PAIRED_GRACE=2026-08-22",prints the measured basis beside every live threshold,n/a,Missing Owner
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-alert-delivery,infrastructure,.github/workflows/*.yml (all 27),Active-reachable but delivery is GitHub's default run-failure email only,workflow failure,repo owner's email,WS-OBJ-505,WS-CAN-0025,n/a,"grep -rn -iE 'slack|discord|pagerduty|webhook|mailto|create-issue|peter-evans' .github/workflows/ -> ONE hit, the English word 'slack' inside a CI comment at ci.yml:918. Zero notification actions. Control: 9 workflows carry schedule:",no notifier of any kind; and all four monitors ride the same GitHub cron whose delivery this program measured at 5-32% of nominal,"WS-CAN-0025's dead-man's switch is the designed inversion, unwired",Missing Owner
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-flag-state,shared,"483 distinct window.__X__ globals across frontend/src; 20 localStorage keys read in frontend/src/components/map (incl. force_marine_fallback, force_wind_fallback, __USE_BACKEND_WEATHER_SERVICE__, __USE_BACKEND_MARINE_SYSTEM__, __USE_BACKEND_COPERNICUS_SERVICE__, __RAW_DISABLE_RATINGS_CDN__)",Active-reachable — every one changes behaviour when set,"console assignment, test harness, or persisted localStorage",the code paths themselves,"NONE (B12 covers HAVING kill switches, not exposing their state)",WS-CAN-0022 covers CLEARING 2 of them (persisted force_*_fallback),NONE for state exposure,"census.py: 483 distinct, 2258 references, 323 ever assigned in src, 160 never assigned (144 kill-switch/tunable shaped). No registry: git grep 'FLAG_REGISTRY|listFlags|allFlags|flagState|__RAW_FLAGS__' -> 0 (control: LAYER_REGISTRY -> 7 hits in LayerRegistry.js)","NO surface — not the HUD, not the uplink, not /api/health — reports which flags are set",n/a,Missing Observability
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-cache-instrumentation,data,"WeatherTelemetry.trackCacheHit/trackCacheMiss (:490-496); only callers openMeteoProtocol.js:452,467",Active-reachable but covers 1 cache of ~11,model-metadata cache lookup,the in-browser ring,WS-OBJ-504 (B5 names 'cache' explicitly),NONE,NONE,"Census of client caches in components/map: _tileCache, _seriesCache, _exactPointCache, clientGridCache, _maskCanvasCache, _landCache, _shelterCache, _geoCache, _dwdCache, _iconAnchorCache, DECODED_TILE_CACHE — only MODEL_METADATA_CACHE emits cache_hit/cache_miss",client cache age is exposed nowhere at all,n/a,Missing Observability
OBSERVABILITY + INCIDENT READINESS (audit spec §20) — Raw Su,SUR-OBS-stale-response-rejection,state-lifecycle,frontend/src/hooks/useExactPointFetch.js:108 status 'exact_stale_rejected'; consumed at MapForecastOverlay.js:147 and MapForecastOverlayDiag.js:105,Active-reachable,exact-point fetch resolution,"a loading spinner, and a console.log",WS-OBJ-303 (A10),NONE,not located,"A10 is graded MET ('monotonic request ids + live-target guards, verified line-by-line at 11.0'), but no generationId/requestGeneration/seqRef symbol exists in components/map (grep 0) and no counter or telemetry event records a rejection",a rejection is visible only as a spinner; nothing counts how often stale work is discarded,the guard itself works (A10 MET),Missing Observability
